40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
217400,Color [A=255, R=255, G=255, B=255]
217440,Color [A=255, R=0, G=0, B=0]
226480,Color [A=255, R=255, G=255, B=255]
226520,Color [A=255, R=0, G=0, B=0]
238520,Color [A=255, R=255, G=255, B=255]
238560,Color [A=255, R=0, G=0, B=0]
304080,Color [A=255, R=255, G=255, B=255]
369600,Color [A=255, R=255, G=255, B=255]
435120,Color [A=255, R=255, G=255, B=255]
500640,Color [A=255, R=255, G=255, B=255]
553320,Color [A=255, R=255, G=255, B=255]
553360,Color [A=255, R=0, G=0, B=0]
616280,Color [A=255, R=255, G=255, B=255]
616320,Color [A=255, R=0, G=0, B=0]
650360,Color [A=255, R=255, G=255, B=255]
650400,Color [A=255, R=0, G=0, B=0]
715920,Color [A=255, R=255, G=255, B=255]
781440,Color [A=255, R=255, G=255, B=255]
846960,Color [A=255, R=255, G=255, B=255]
912480,Color [A=255, R=255, G=255, B=255]
912840,Color [A=255, R=255, G=255, B=255]
912920,Color [A=255, R=0, G=0, B=0]
978440,Color [A=255, R=255, G=255, B=255]
1043960,Color [A=255, R=255, G=255, B=255]
1109480,Color [A=255, R=255, G=255, B=255]
1175000,Color [A=255, R=255, G=255, B=255]
1240520,Color [A=255, R=255, G=255, B=255]
1248880,Color [A=255, R=255, G=255, B=255]
1248960,Color [A=255, R=0, G=0, B=0]
1304200,Color [A=255, R=255, G=255, B=255]
1304240,Color [A=255, R=0, G=0, B=0]
1316560,Color [A=255, R=255, G=255, B=255]
1316600,Color [A=255, R=0, G=0, B=0]
1382120,Color [A=255, R=255, G=255, B=255]
1447640,Color [A=255, R=255, G=255, B=255]
1513160,Color [A=255, R=255, G=255, B=255]
1577160,Color [A=255, R=255, G=255, B=255]
1577200,Color [A=255, R=0, G=0, B=0]
1642720,Color [A=255, R=255, G=255, B=255]
1708240,Color [A=255, R=255, G=255, B=255]
1773760,Color [A=255, R=255, G=255, B=255]
1839280,Color [A=255, R=255, G=255, B=255]
1904800,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
