40,Color [A=255, R=255, G=206, B=31]
560,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
2080,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
5080,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
6120,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
12840,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
14240,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
23800,Color [A=255, R=255, G=255, B=255]
23840,Color [A=255, R=0, G=0, B=0]
24040,Color [A=255, R=255, G=255, B=255]
24080,Color [A=255, R=0, G=0, B=0]
25920,Color [A=255, R=255, G=255, B=255]
25960,Color [A=255, R=0, G=0, B=0]
26320,Color [A=255, R=255, G=255, B=255]
26360,Color [A=255, R=0, G=0, B=0]
29280,Color [A=255, R=255, G=255, B=255]
29320,Color [A=255, R=0, G=0, B=0]
30160,Color [A=255, R=255, G=255, B=255]
30200,Color [A=255, R=0, G=0, B=0]
34480,Color [A=255, R=255, G=255, B=255]
34520,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
34920,Color [A=255, R=255, G=255, B=255]
34960,Color [A=255, R=0, G=0, B=0]
35880,Color [A=255, R=255, G=255, B=255]
35920,Color [A=255, R=0, G=0, B=0]
37200,Color [A=255, R=255, G=255, B=255]
37240,Color [A=255, R=0, G=0, B=0]
39600,Color [A=255, R=255, G=255, B=255]
39760,Color [A=255, R=0, G=0, B=0]
40720,Color [A=255, R=255, G=255, B=255]
40760,Color [A=255, R=0, G=0, B=0]
41960,Color [A=255, R=255, G=255, B=255]
42000,Color [A=255, R=0, G=0, B=0]
42800,Color [A=255, R=255, G=255, B=255]
42840,Color [A=255, R=0, G=0, B=0]
46840,Color [A=255, R=255, G=255, B=255]
46880,Color [A=255, R=0, G=0, B=0]
47240,Color [A=255, R=255, G=255, B=255]
47280,Color [A=255, R=0, G=0, B=0]
48160,Color [A=255, R=255, G=255, B=255]
48200,Color [A=255, R=0, G=0, B=0]
49200,Color [A=255, R=255, G=255, B=255]
49240,Color [A=255, R=0, G=0, B=0]
49520,Color [A=255, R=255, G=255, B=255]
49560,Color [A=255, R=0, G=0, B=0]
49720,Color [A=255, R=255, G=255, B=255]
49760,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
51280,Color [A=255, R=255, G=255, B=255]
51320,Color [A=255, R=0, G=0, B=0]
51800,Color [A=255, R=255, G=255, B=255]
51840,Color [A=255, R=0, G=0, B=0]
52480,Color [A=255, R=255, G=255, B=255]
52520,Color [A=255, R=0, G=0, B=0]
53960,Color [A=255, R=255, G=255, B=255]
54000,Color [A=255, R=0, G=0, B=0]
54720,Color [A=255, R=255, G=255, B=255]
54760,Color [A=255, R=0, G=0, B=0]
55440,Color [A=255, R=255, G=255, B=255]
55480,Color [A=255, R=0, G=0, B=0]
57080,Color [A=255, R=255, G=255, B=255]
57120,Color [A=255, R=0, G=0, B=0]
59280,Color [A=255, R=255, G=255, B=255]
59320,Color [A=255, R=0, G=0, B=0]
59680,Color [A=255, R=255, G=255, B=255]
59720,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
60920,Color [A=255, R=255, G=255, B=255]
60960,Color [A=255, R=0, G=0, B=0]
61600,Color [A=255, R=255, G=255, B=255]
61640,Color [A=255, R=0, G=0, B=0]
67440,Color [A=255, R=255, G=255, B=255]
67480,Color [A=255, R=0, G=0, B=0]
67920,Color [A=255, R=255, G=255, B=255]
67960,Color [A=255, R=0, G=0, B=0]
68120,Color [A=255, R=255, G=255, B=255]
68160,Color [A=255, R=0, G=0, B=0]
70000,Color [A=255, R=255, G=255, B=255]
70040,Color [A=255, R=0, G=0, B=0]
76320,Color [A=255, R=255, G=255, B=255]
76360,Color [A=255, R=0, G=0, B=0]
78040,Color [A=255, R=255, G=255, B=255]
78080,Color [A=255, R=0, G=0, B=0]
81200,Color [A=255, R=255, G=255, B=255]
81240,Color [A=255, R=0, G=0, B=0]
81520,Color [A=255, R=255, G=255, B=255]
81560,Color [A=255, R=0, G=0, B=0]
82360,Color [A=255, R=255, G=255, B=255]
82400,Color [A=255, R=0, G=0, B=0]
85280,Color [A=255, R=255, G=255, B=255]
85320,Color [A=255, R=0, G=0, B=0]
85480,Color [A=255, R=255, G=255, B=255]
85520,Color [A=255, R=0, G=0, B=0]
85960,Color [A=255, R=255, G=255, B=255]
86000,Color [A=255, R=0, G=0, B=0]
87000,Color [A=255, R=255, G=255, B=255]
87040,Color [A=255, R=0, G=0, B=0]
87840,Color [A=255, R=255, G=255, B=255]
87880,Color [A=255, R=0, G=0, B=0]
88840,Color [A=255, R=255, G=255, B=255]
88880,Color [A=255, R=0, G=0, B=0]
91520,Color [A=255, R=255, G=255, B=255]
91560,Color [A=255, R=0, G=0, B=0]
91680,Color [A=255, R=255, G=255, B=255]
91720,Color [A=255, R=0, G=0, B=0]
93440,Color [A=255, R=255, G=255, B=255]
93480,Color [A=255, R=0, G=0, B=0]
97080,Color [A=255, R=255, G=255, B=255]
97120,Color [A=255, R=0, G=0, B=0]
97800,Color [A=255, R=255, G=255, B=255]
97840,Color [A=255, R=0, G=0, B=0]
101880,Color [A=255, R=255, G=255, B=255]
101920,Color [A=255, R=0, G=0, B=0]
102920,Color [A=255, R=255, G=255, B=255]
102960,Color [A=255, R=0, G=0, B=0]
104720,Color [A=255, R=255, G=255, B=255]
104760,Color [A=255, R=0, G=0, B=0]
106080,Color [A=255, R=255, G=255, B=255]
106120,Color [A=255, R=0, G=0, B=0]
108640,Color [A=255, R=255, G=255, B=255]
108680,Color [A=255, R=0, G=0, B=0]
109200,Color [A=255, R=255, G=255, B=255]
109240,Color [A=255, R=0, G=0, B=0]
110040,Color [A=255, R=255, G=255, B=255]
110080,Color [A=255, R=0, G=0, B=0]
111760,Color [A=255, R=255, G=255, B=255]
111800,Color [A=255, R=0, G=0, B=0]
112360,Color [A=255, R=255, G=255, B=255]
112400,Color [A=255, R=0, G=0, B=0]
112480,Color [A=255, R=255, G=255, B=255]
112520,Color [A=255, R=0, G=0, B=0]
113000,Color [A=255, R=255, G=255, B=255]
113040,Color [A=255, R=0, G=0, B=0]
113160,Color [A=255, R=255, G=255, B=255]
113200,Color [A=255, R=0, G=0, B=0]
113640,Color [A=255, R=255, G=255, B=255]
113680,Color [A=255, R=0, G=0, B=0]
118280,Color [A=255, R=255, G=255, B=255]
118320,Color [A=255, R=0, G=0, B=0]
120880,Color [A=255, R=255, G=255, B=255]
120920,Color [A=255, R=0, G=0, B=0]
121120,Color [A=255, R=255, G=255, B=255]
121160,Color [A=255, R=0, G=0, B=0]
122080,Color [A=255, R=255, G=255, B=255]
122120,Color [A=255, R=0, G=0, B=0]
125880,Color [A=255, R=255, G=255, B=255]
125920,Color [A=255, R=0, G=0, B=0]
126400,Color [A=255, R=255, G=255, B=255]
126440,Color [A=255, R=0, G=0, B=0]
130280,Color [A=255, R=255, G=255, B=255]
130320,Color [A=255, R=0, G=0, B=0]
131440,Color [A=255, R=255, G=255, B=255]
131480,Color [A=255, R=0, G=0, B=0]
132560,Color [A=255, R=255, G=255, B=255]
132600,Color [A=255, R=0, G=0, B=0]
135480,Color [A=255, R=255, G=255, B=255]
135520,Color [A=255, R=0, G=0, B=0]
138080,Color [A=255, R=255, G=255, B=255]
138120,Color [A=255, R=0, G=0, B=0]
138480,Color [A=255, R=255, G=255, B=255]
138520,Color [A=255, R=0, G=0, B=0]
139560,Color [A=255, R=255, G=255, B=255]
139600,Color [A=255, R=0, G=0, B=0]
144120,Color [A=255, R=255, G=255, B=255]
144160,Color [A=255, R=0, G=0, B=0]
147520,Color [A=255, R=255, G=255, B=255]
147560,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
149080,Color [A=255, R=255, G=255, B=255]
149120,Color [A=255, R=0, G=0, B=0]
150680,Color [A=255, R=255, G=255, B=255]
150720,Color [A=255, R=0, G=0, B=0]
150840,Color [A=255, R=255, G=255, B=255]
150880,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
151640,Color [A=255, R=255, G=255, B=255]
151680,Color [A=255, R=0, G=0, B=0]
151720,Color [A=255, R=255, G=255, B=255]
151760,Color [A=255, R=0, G=0, B=0]
154000,Color [A=255, R=255, G=255, B=255]
154040,Color [A=255, R=0, G=0, B=0]
155040,Color [A=255, R=255, G=255, B=255]
155080,Color [A=255, R=0, G=0, B=0]
156200,Color [A=255, R=255, G=255, B=255]
156240,Color [A=255, R=0, G=0, B=0]
157240,Color [A=255, R=255, G=255, B=255]
157280,Color [A=255, R=0, G=0, B=0]
158160,Color [A=255, R=255, G=255, B=255]
158200,Color [A=255, R=0, G=0, B=0]
158400,Color [A=255, R=255, G=255, B=255]
158440,Color [A=255, R=0, G=0, B=0]
159200,Color [A=255, R=255, G=255, B=255]
159240,Color [A=255, R=0, G=0, B=0]
159800,Color [A=255, R=255, G=255, B=255]
