40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
616280,Color [A=255, R=255, G=255, B=255]
616320,Color [A=255, R=0, G=0, B=0]
681840,Color [A=255, R=255, G=255, B=255]
747360,Color [A=255, R=255, G=255, B=255]
812880,Color [A=255, R=255, G=255, B=255]
878400,Color [A=255, R=255, G=255, B=255]
943920,Color [A=255, R=255, G=255, B=255]
1009440,Color [A=255, R=255, G=255, B=255]
1074960,Color [A=255, R=255, G=255, B=255]
1140480,Color [A=255, R=255, G=255, B=255]
1206000,Color [A=255, R=255, G=255, B=255]
1271520,Color [A=255, R=255, G=255, B=255]
1337040,Color [A=255, R=255, G=255, B=255]
1402560,Color [A=255, R=255, G=255, B=255]
1428080,Color [A=255, R=255, G=255, B=255]
1428720,Color [A=255, R=0, G=0, B=0]
1494240,Color [A=255, R=255, G=255, B=255]
1559760,Color [A=255, R=255, G=255, B=255]
1577160,Color [A=255, R=255, G=255, B=255]
1577200,Color [A=255, R=0, G=0, B=0]
1642720,Color [A=255, R=255, G=255, B=255]
1708240,Color [A=255, R=255, G=255, B=255]
1773760,Color [A=255, R=255, G=255, B=255]
1839280,Color [A=255, R=255, G=255, B=255]
1904800,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
