40,Color [A=255, R=255, G=206, B=31]
1560,Color [A=255, R=255, G=255, B=255]
1600,Color [A=255, R=0, G=0, B=0]
6240,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
7600,Color [A=255, R=255, G=255, B=255]
7640,Color [A=255, R=0, G=0, B=0]
10320,Color [A=255, R=255, G=255, B=255]
10360,Color [A=255, R=0, G=0, B=0]
10520,Color [A=255, R=255, G=255, B=255]
10560,Color [A=255, R=0, G=0, B=0]
10800,Color [A=255, R=255, G=255, B=255]
10840,Color [A=255, R=0, G=0, B=0]
12640,Color [A=255, R=255, G=255, B=255]
12680,Color [A=255, R=0, G=0, B=0]
14320,Color [A=255, R=255, G=255, B=255]
14360,Color [A=255, R=0, G=0, B=0]
14640,Color [A=255, R=255, G=255, B=255]
14680,Color [A=255, R=0, G=0, B=0]
22400,Color [A=255, R=255, G=255, B=255]
22440,Color [A=255, R=0, G=0, B=0]
22840,Color [A=255, R=255, G=255, B=255]
22880,Color [A=255, R=0, G=0, B=0]
24960,Color [A=255, R=255, G=255, B=255]
25000,Color [A=255, R=0, G=0, B=0]
27320,Color [A=255, R=255, G=255, B=255]
27360,Color [A=255, R=0, G=0, B=0]
30760,Color [A=255, R=255, G=255, B=255]
30800,Color [A=255, R=0, G=0, B=0]
36120,Color [A=255, R=255, G=255, B=255]
36160,Color [A=255, R=0, G=0, B=0]
39200,Color [A=255, R=255, G=255, B=255]
39280,Color [A=255, R=0, G=0, B=0]
41480,Color [A=255, R=255, G=255, B=255]
41520,Color [A=255, R=0, G=0, B=0]
41640,Color [A=255, R=255, G=255, B=255]
41680,Color [A=255, R=0, G=0, B=0]
43560,Color [A=255, R=255, G=255, B=255]
43600,Color [A=255, R=0, G=0, B=0]
44320,Color [A=255, R=255, G=255, B=255]
44360,Color [A=255, R=0, G=0, B=0]
45720,Color [A=255, R=255, G=255, B=255]
45760,Color [A=255, R=0, G=0, B=0]
47720,Color [A=255, R=255, G=255, B=255]
47760,Color [A=255, R=0, G=0, B=0]
48000,Color [A=255, R=255, G=255, B=255]
48040,Color [A=255, R=0, G=0, B=0]
48880,Color [A=255, R=255, G=255, B=255]
48920,Color [A=255, R=0, G=0, B=0]
49440,Color [A=255, R=255, G=255, B=255]
49480,Color [A=255, R=0, G=0, B=0]
49600,Color [A=255, R=255, G=255, B=255]
49640,Color [A=255, R=0, G=0, B=0]
50160,Color [A=255, R=255, G=255, B=255]
50200,Color [A=255, R=0, G=0, B=0]
50760,Color [A=255, R=255, G=255, B=255]
50800,Color [A=255, R=0, G=0, B=0]
53240,Color [A=255, R=255, G=255, B=255]
53280,Color [A=255, R=0, G=0, B=0]
54800,Color [A=255, R=255, G=255, B=255]
54840,Color [A=255, R=0, G=0, B=0]
56080,Color [A=255, R=255, G=255, B=255]
56120,Color [A=255, R=0, G=0, B=0]
57840,Color [A=255, R=255, G=255, B=255]
57920,Color [A=255, R=0, G=0, B=0]
58200,Color [A=255, R=255, G=255, B=255]
58240,Color [A=255, R=0, G=0, B=0]
59880,Color [A=255, R=255, G=255, B=255]
59920,Color [A=255, R=0, G=0, B=0]
60000,Color [A=255, R=255, G=255, B=255]
60040,Color [A=255, R=0, G=0, B=0]
60400,Color [A=255, R=255, G=255, B=255]
60440,Color [A=255, R=0, G=0, B=0]
63160,Color [A=255, R=255, G=255, B=255]
63200,Color [A=255, R=0, G=0, B=0]
66600,Color [A=255, R=255, G=255, B=255]
66640,Color [A=255, R=0, G=0, B=0]
68360,Color [A=255, R=255, G=255, B=255]
68400,Color [A=255, R=0, G=0, B=0]
69280,Color [A=255, R=255, G=255, B=255]
69320,Color [A=255, R=0, G=0, B=0]
71440,Color [A=255, R=255, G=255, B=255]
71480,Color [A=255, R=0, G=0, B=0]
71880,Color [A=255, R=255, G=255, B=255]
71920,Color [A=255, R=0, G=0, B=0]
73440,Color [A=255, R=255, G=255, B=255]
73480,Color [A=255, R=0, G=0, B=0]
73760,Color [A=255, R=255, G=255, B=255]
73800,Color [A=255, R=0, G=0, B=0]
74840,Color [A=255, R=255, G=255, B=255]
74880,Color [A=255, R=0, G=0, B=0]
76120,Color [A=255, R=255, G=255, B=255]
76160,Color [A=255, R=0, G=0, B=0]
76840,Color [A=255, R=255, G=255, B=255]
76880,Color [A=255, R=0, G=0, B=0]
77520,Color [A=255, R=255, G=255, B=255]
77560,Color [A=255, R=0, G=0, B=0]
77880,Color [A=255, R=255, G=255, B=255]
77920,Color [A=255, R=0, G=0, B=0]
78520,Color [A=255, R=255, G=255, B=255]
78560,Color [A=255, R=0, G=0, B=0]
79320,Color [A=255, R=255, G=255, B=255]
79360,Color [A=255, R=0, G=0, B=0]
80240,Color [A=255, R=255, G=255, B=255]
80280,Color [A=255, R=0, G=0, B=0]
80480,Color [A=255, R=255, G=255, B=255]
80520,Color [A=255, R=0, G=0, B=0]
80720,Color [A=255, R=255, G=255, B=255]
80760,Color [A=255, R=0, G=0, B=0]
81440,Color [A=255, R=255, G=255, B=255]
81480,Color [A=255, R=0, G=0, B=0]
82080,Color [A=255, R=255, G=255, B=255]
82120,Color [A=255, R=0, G=0, B=0]
82320,Color [A=255, R=255, G=255, B=255]
82360,Color [A=255, R=0, G=0, B=0]
83400,Color [A=255, R=255, G=255, B=255]
83440,Color [A=255, R=0, G=0, B=0]
83640,Color [A=255, R=255, G=255, B=255]
83680,Color [A=255, R=0, G=0, B=0]
84560,Color [A=255, R=255, G=255, B=255]
84600,Color [A=255, R=0, G=0, B=0]
85040,Color [A=255, R=255, G=255, B=255]
85080,Color [A=255, R=0, G=0, B=0]
87160,Color [A=255, R=255, G=255, B=255]
87200,Color [A=255, R=0, G=0, B=0]
89120,Color [A=255, R=255, G=255, B=255]
89160,Color [A=255, R=0, G=0, B=0]
90120,Color [A=255, R=255, G=255, B=255]
90160,Color [A=255, R=0, G=0, B=0]
90760,Color [A=255, R=255, G=255, B=255]
90800,Color [A=255, R=0, G=0, B=0]
92080,Color [A=255, R=255, G=255, B=255]
92120,Color [A=255, R=0, G=0, B=0]
93520,Color [A=255, R=255, G=255, B=255]
93560,Color [A=255, R=0, G=0, B=0]
95600,Color [A=255, R=255, G=255, B=255]
95640,Color [A=255, R=0, G=0, B=0]
96280,Color [A=255, R=255, G=255, B=255]
96320,Color [A=255, R=0, G=0, B=0]
99000,Color [A=255, R=255, G=255, B=255]
99040,Color [A=255, R=0, G=0, B=0]
100480,Color [A=255, R=255, G=255, B=255]
100520,Color [A=255, R=0, G=0, B=0]
102360,Color [A=255, R=255, G=255, B=255]
102400,Color [A=255, R=0, G=0, B=0]
102560,Color [A=255, R=255, G=255, B=255]
102600,Color [A=255, R=0, G=0, B=0]
103040,Color [A=255, R=255, G=255, B=255]
103080,Color [A=255, R=0, G=0, B=0]
103200,Color [A=255, R=255, G=255, B=255]
103240,Color [A=255, R=0, G=0, B=0]
103280,Color [A=255, R=255, G=255, B=255]
103320,Color [A=255, R=0, G=0, B=0]
104480,Color [A=255, R=255, G=255, B=255]
104520,Color [A=255, R=0, G=0, B=0]
105880,Color [A=255, R=255, G=255, B=255]
105920,Color [A=255, R=0, G=0, B=0]
106480,Color [A=255, R=255, G=255, B=255]
106520,Color [A=255, R=0, G=0, B=0]
106800,Color [A=255, R=255, G=255, B=255]
106840,Color [A=255, R=0, G=0, B=0]
108160,Color [A=255, R=255, G=255, B=255]
108200,Color [A=255, R=0, G=0, B=0]
108320,Color [A=255, R=255, G=255, B=255]
108360,Color [A=255, R=0, G=0, B=0]
111600,Color [A=255, R=255, G=255, B=255]
111640,Color [A=255, R=0, G=0, B=0]
112560,Color [A=255, R=255, G=255, B=255]
112600,Color [A=255, R=0, G=0, B=0]
114720,Color [A=255, R=255, G=255, B=255]
114760,Color [A=255, R=0, G=0, B=0]
115360,Color [A=255, R=255, G=255, B=255]
115400,Color [A=255, R=0, G=0, B=0]
115440,Color [A=255, R=255, G=255, B=255]
115480,Color [A=255, R=0, G=0, B=0]
115520,Color [A=255, R=255, G=255, B=255]
115560,Color [A=255, R=0, G=0, B=0]
117120,Color [A=255, R=255, G=255, B=255]
117160,Color [A=255, R=0, G=0, B=0]
117400,Color [A=255, R=255, G=255, B=255]
117440,Color [A=255, R=0, G=0, B=0]
120040,Color [A=255, R=255, G=255, B=255]
120080,Color [A=255, R=0, G=0, B=0]
121200,Color [A=255, R=255, G=255, B=255]
121240,Color [A=255, R=0, G=0, B=0]
122400,Color [A=255, R=255, G=255, B=255]
122440,Color [A=255, R=0, G=0, B=0]
122680,Color [A=255, R=255, G=255, B=255]
122720,Color [A=255, R=0, G=0, B=0]
124600,Color [A=255, R=255, G=255, B=255]
124640,Color [A=255, R=0, G=0, B=0]
126880,Color [A=255, R=255, G=255, B=255]
126920,Color [A=255, R=0, G=0, B=0]
127800,Color [A=255, R=255, G=255, B=255]
127840,Color [A=255, R=0, G=0, B=0]
128840,Color [A=255, R=255, G=255, B=255]
128880,Color [A=255, R=0, G=0, B=0]
132080,Color [A=255, R=255, G=255, B=255]
132120,Color [A=255, R=0, G=0, B=0]
132720,Color [A=255, R=255, G=255, B=255]
132760,Color [A=255, R=0, G=0, B=0]
132800,Color [A=255, R=255, G=255, B=255]
132840,Color [A=255, R=0, G=0, B=0]
132880,Color [A=255, R=255, G=255, B=255]
132920,Color [A=255, R=0, G=0, B=0]
134320,Color [A=255, R=255, G=255, B=255]
134360,Color [A=255, R=0, G=0, B=0]
138360,Color [A=255, R=255, G=255, B=255]
138400,Color [A=255, R=0, G=0, B=0]
139920,Color [A=255, R=255, G=255, B=255]
139960,Color [A=255, R=0, G=0, B=0]
140120,Color [A=255, R=255, G=255, B=255]
140160,Color [A=255, R=0, G=0, B=0]
141160,Color [A=255, R=255, G=255, B=255]
141200,Color [A=255, R=0, G=0, B=0]
142160,Color [A=255, R=255, G=255, B=255]
142200,Color [A=255, R=0, G=0, B=0]
143200,Color [A=255, R=255, G=255, B=255]
143240,Color [A=255, R=0, G=0, B=0]
143680,Color [A=255, R=255, G=255, B=255]
143720,Color [A=255, R=0, G=0, B=0]
144760,Color [A=255, R=255, G=255, B=255]
144800,Color [A=255, R=0, G=0, B=0]
145520,Color [A=255, R=255, G=255, B=255]
145560,Color [A=255, R=0, G=0, B=0]
146400,Color [A=255, R=255, G=255, B=255]
146440,Color [A=255, R=0, G=0, B=0]
147440,Color [A=255, R=255, G=255, B=255]
147480,Color [A=255, R=0, G=0, B=0]
150040,Color [A=255, R=255, G=255, B=255]
150080,Color [A=255, R=0, G=0, B=0]
152880,Color [A=255, R=255, G=255, B=255]
152920,Color [A=255, R=0, G=0, B=0]
153360,Color [A=255, R=255, G=255, B=255]
153400,Color [A=255, R=0, G=0, B=0]
156040,Color [A=255, R=255, G=255, B=255]
156080,Color [A=255, R=0, G=0, B=0]
159680,Color [A=255, R=255, G=255, B=255]
159720,Color [A=255, R=0, G=0, B=0]
160200,Color [A=255, R=255, G=255, B=255]
160240,Color [A=255, R=0, G=0, B=0]
162240,Color [A=255, R=255, G=255, B=255]
162280,Color [A=255, R=0, G=0, B=0]
163640,Color [A=255, R=255, G=255, B=255]
163680,Color [A=255, R=0, G=0, B=0]
164880,Color [A=255, R=255, G=255, B=255]
164920,Color [A=255, R=0, G=0, B=0]
167280,Color [A=255, R=255, G=255, B=255]
167320,Color [A=255, R=0, G=0, B=0]
