40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
107200,Color [A=255, R=255, G=255, B=255]
107240,Color [A=255, R=0, G=0, B=0]
123160,Color [A=255, R=255, G=255, B=255]
123200,Color [A=255, R=0, G=0, B=0]
134480,Color [A=255, R=255, G=255, B=255]
134520,Color [A=255, R=0, G=0, B=0]
200040,Color [A=255, R=255, G=255, B=255]
209120,Color [A=255, R=255, G=255, B=255]
209160,Color [A=255, R=0, G=0, B=0]
238640,Color [A=255, R=255, G=255, B=255]
238680,Color [A=255, R=0, G=0, B=0]
304200,Color [A=255, R=255, G=255, B=255]
345160,Color [A=255, R=255, G=255, B=255]
345200,Color [A=255, R=0, G=0, B=0]
380360,Color [A=255, R=255, G=255, B=255]
380400,Color [A=255, R=0, G=0, B=0]
445760,Color [A=255, R=255, G=255, B=255]
445800,Color [A=255, R=0, G=0, B=0]
505960,Color [A=255, R=255, G=255, B=255]
506000,Color [A=255, R=0, G=0, B=0]
555520,Color [A=255, R=255, G=255, B=255]
555560,Color [A=255, R=0, G=0, B=0]
621080,Color [A=255, R=255, G=255, B=255]
680440,Color [A=255, R=255, G=255, B=255]
680480,Color [A=255, R=0, G=0, B=0]
746000,Color [A=255, R=255, G=255, B=255]
758560,Color [A=255, R=255, G=255, B=255]
758600,Color [A=255, R=0, G=0, B=0]
824120,Color [A=255, R=255, G=255, B=255]
878200,Color [A=255, R=255, G=255, B=255]
878240,Color [A=255, R=0, G=0, B=0]
943760,Color [A=255, R=255, G=255, B=255]
951000,Color [A=255, R=255, G=255, B=255]
951040,Color [A=255, R=0, G=0, B=0]
1016560,Color [A=255, R=255, G=255, B=255]
1082080,Color [A=255, R=255, G=255, B=255]
1111800,Color [A=255, R=255, G=255, B=255]
1111840,Color [A=255, R=0, G=0, B=0]
1177360,Color [A=255, R=255, G=255, B=255]
1242880,Color [A=255, R=255, G=255, B=255]
1308400,Color [A=255, R=255, G=255, B=255]
1373920,Color [A=255, R=255, G=255, B=255]
1439440,Color [A=255, R=255, G=255, B=255]
1504960,Color [A=255, R=255, G=255, B=255]
1570480,Color [A=255, R=255, G=255, B=255]
1636000,Color [A=255, R=255, G=255, B=255]
1668360,Color [A=255, R=255, G=255, B=255]
1668400,Color [A=255, R=0, G=0, B=0]
1713840,Color [A=255, R=255, G=255, B=255]
1713880,Color [A=255, R=0, G=0, B=0]
1779400,Color [A=255, R=255, G=255, B=255]
1808560,Color [A=255, R=255, G=255, B=255]
1808600,Color [A=255, R=0, G=0, B=0]
1814840,Color [A=255, R=255, G=255, B=255]
1814880,Color [A=255, R=0, G=0, B=0]
1880400,Color [A=255, R=255, G=255, B=255]
1883000,Color [A=255, R=255, G=255, B=255]
1883040,Color [A=255, R=0, G=0, B=0]
1948560,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
