40,Color [A=255, R=255, G=206, B=31]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
39640,Color [A=255, R=255, G=255, B=255]
39680,Color [A=255, R=0, G=0, B=0]
105200,Color [A=255, R=255, G=255, B=255]
170720,Color [A=255, R=255, G=255, B=255]
179880,Color [A=255, R=255, G=255, B=255]
179920,Color [A=255, R=0, G=0, B=0]
198960,Color [A=255, R=255, G=255, B=255]
199000,Color [A=255, R=0, G=0, B=0]
203480,Color [A=255, R=255, G=255, B=255]
203520,Color [A=255, R=0, G=0, B=0]
204920,Color [A=255, R=255, G=255, B=255]
204960,Color [A=255, R=0, G=0, B=0]
252840,Color [A=255, R=255, G=255, B=255]
252880,Color [A=255, R=0, G=0, B=0]
318400,Color [A=255, R=255, G=255, B=255]
383920,Color [A=255, R=255, G=255, B=255]
415960,Color [A=255, R=255, G=255, B=255]
416000,Color [A=255, R=0, G=0, B=0]
431440,Color [A=255, R=255, G=255, B=255]
431480,Color [A=255, R=0, G=0, B=0]
441040,Color [A=255, R=255, G=255, B=255]
441080,Color [A=255, R=0, G=0, B=0]
443040,Color [A=255, R=255, G=255, B=255]
443080,Color [A=255, R=0, G=0, B=0]
508600,Color [A=255, R=255, G=255, B=255]
514920,Color [A=255, R=255, G=255, B=255]
514960,Color [A=255, R=0, G=0, B=0]
538440,Color [A=255, R=255, G=255, B=255]
538480,Color [A=255, R=0, G=0, B=0]
547680,Color [A=255, R=255, G=255, B=255]
547720,Color [A=255, R=0, G=0, B=0]
574640,Color [A=255, R=255, G=255, B=255]
574680,Color [A=255, R=0, G=0, B=0]
589600,Color [A=255, R=255, G=255, B=255]
589640,Color [A=255, R=0, G=0, B=0]
598360,Color [A=255, R=255, G=255, B=255]
598400,Color [A=255, R=0, G=0, B=0]
612200,Color [A=255, R=255, G=255, B=255]
612240,Color [A=255, R=0, G=0, B=0]
617560,Color [A=255, R=255, G=255, B=255]
617600,Color [A=255, R=0, G=0, B=0]
619520,Color [A=255, R=255, G=255, B=255]
619560,Color [A=255, R=0, G=0, B=0]
685080,Color [A=255, R=255, G=255, B=255]
704600,Color [A=255, R=255, G=255, B=255]
704640,Color [A=255, R=0, G=0, B=0]
719720,Color [A=255, R=255, G=255, B=255]
719760,Color [A=255, R=0, G=0, B=0]
724640,Color [A=255, R=255, G=255, B=255]
724680,Color [A=255, R=0, G=0, B=0]
725920,Color [A=255, R=255, G=255, B=255]
725960,Color [A=255, R=0, G=0, B=0]
760680,Color [A=255, R=255, G=255, B=255]
760720,Color [A=255, R=0, G=0, B=0]
826240,Color [A=255, R=255, G=255, B=255]
852360,Color [A=255, R=255, G=255, B=255]
852400,Color [A=255, R=0, G=0, B=0]
855160,Color [A=255, R=255, G=255, B=255]
855200,Color [A=255, R=0, G=0, B=0]
860240,Color [A=255, R=255, G=255, B=255]
860280,Color [A=255, R=0, G=0, B=0]
883800,Color [A=255, R=255, G=255, B=255]
883840,Color [A=255, R=0, G=0, B=0]
904360,Color [A=255, R=255, G=255, B=255]
904400,Color [A=255, R=0, G=0, B=0]
919760,Color [A=255, R=255, G=255, B=255]
919800,Color [A=255, R=0, G=0, B=0]
927880,Color [A=255, R=255, G=255, B=255]
927920,Color [A=255, R=0, G=0, B=0]
938760,Color [A=255, R=255, G=255, B=255]
938800,Color [A=255, R=0, G=0, B=0]
961720,Color [A=255, R=255, G=255, B=255]
961760,Color [A=255, R=0, G=0, B=0]
963200,Color [A=255, R=255, G=255, B=255]
963240,Color [A=255, R=0, G=0, B=0]
993600,Color [A=255, R=255, G=255, B=255]
993640,Color [A=255, R=0, G=0, B=0]
998560,Color [A=255, R=255, G=255, B=255]
998600,Color [A=255, R=0, G=0, B=0]
1002520,Color [A=255, R=255, G=255, B=255]
1002560,Color [A=255, R=0, G=0, B=0]
1015080,Color [A=255, R=255, G=255, B=255]
1015120,Color [A=255, R=0, G=0, B=0]
1016040,Color [A=255, R=255, G=255, B=255]
1016080,Color [A=255, R=0, G=0, B=0]
1021000,Color [A=255, R=255, G=255, B=255]
1021040,Color [A=255, R=0, G=0, B=0]
1038920,Color [A=255, R=255, G=255, B=255]
1038960,Color [A=255, R=0, G=0, B=0]
1041400,Color [A=255, R=255, G=255, B=255]
1041440,Color [A=255, R=0, G=0, B=0]
1042120,Color [A=255, R=255, G=255, B=255]
1042160,Color [A=255, R=0, G=0, B=0]
1043880,Color [A=255, R=255, G=255, B=255]
1043920,Color [A=255, R=0, G=0, B=0]
1074040,Color [A=255, R=255, G=255, B=255]
1074080,Color [A=255, R=0, G=0, B=0]
1075040,Color [A=255, R=255, G=255, B=255]
1075080,Color [A=255, R=0, G=0, B=0]
1120880,Color [A=255, R=255, G=255, B=255]
1120920,Color [A=255, R=0, G=0, B=0]
1148320,Color [A=255, R=255, G=255, B=255]
1148360,Color [A=255, R=0, G=0, B=0]
1167960,Color [A=255, R=255, G=255, B=255]
1168000,Color [A=255, R=0, G=0, B=0]
1169680,Color [A=255, R=255, G=255, B=255]
1169720,Color [A=255, R=0, G=0, B=0]
1194440,Color [A=255, R=255, G=255, B=255]
1194480,Color [A=255, R=0, G=0, B=0]
1209560,Color [A=255, R=255, G=255, B=255]
1209600,Color [A=255, R=0, G=0, B=0]
1224080,Color [A=255, R=255, G=255, B=255]
1224120,Color [A=255, R=0, G=0, B=0]
1255840,Color [A=255, R=255, G=255, B=255]
1255880,Color [A=255, R=0, G=0, B=0]
1257040,Color [A=255, R=255, G=255, B=255]
1257080,Color [A=255, R=0, G=0, B=0]
1269000,Color [A=255, R=255, G=255, B=255]
1269040,Color [A=255, R=0, G=0, B=0]
1284400,Color [A=255, R=255, G=255, B=255]
1284440,Color [A=255, R=0, G=0, B=0]
1303520,Color [A=255, R=255, G=255, B=255]
1303560,Color [A=255, R=0, G=0, B=0]
1306360,Color [A=255, R=255, G=255, B=255]
1306400,Color [A=255, R=0, G=0, B=0]
1371920,Color [A=255, R=255, G=255, B=255]
1409480,Color [A=255, R=255, G=255, B=255]
1409520,Color [A=255, R=0, G=0, B=0]
1475040,Color [A=255, R=255, G=255, B=255]
1540560,Color [A=255, R=255, G=255, B=255]
1577000,Color [A=255, R=255, G=255, B=255]
1577040,Color [A=255, R=0, G=0, B=0]
1594360,Color [A=255, R=255, G=255, B=255]
1594400,Color [A=255, R=0, G=0, B=0]
1615600,Color [A=255, R=255, G=255, B=255]
1615640,Color [A=255, R=0, G=0, B=0]
1619080,Color [A=255, R=255, G=255, B=255]
1619120,Color [A=255, R=0, G=0, B=0]
1621720,Color [A=255, R=255, G=255, B=255]
1621760,Color [A=255, R=0, G=0, B=0]
1630760,Color [A=255, R=255, G=255, B=255]
1630800,Color [A=255, R=0, G=0, B=0]
1633640,Color [A=255, R=255, G=255, B=255]
1633680,Color [A=255, R=0, G=0, B=0]
1651920,Color [A=255, R=255, G=255, B=255]
1651960,Color [A=255, R=0, G=0, B=0]
1678840,Color [A=255, R=255, G=255, B=255]
1678880,Color [A=255, R=0, G=0, B=0]
1681760,Color [A=255, R=255, G=255, B=255]
1681800,Color [A=255, R=0, G=0, B=0]
1684920,Color [A=255, R=255, G=255, B=255]
1684960,Color [A=255, R=0, G=0, B=0]
1687560,Color [A=255, R=255, G=255, B=255]
1687600,Color [A=255, R=0, G=0, B=0]
1688400,Color [A=255, R=255, G=255, B=255]
