40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
50480,Color [A=255, R=255, G=255, B=255]
50520,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
141320,Color [A=255, R=255, G=255, B=255]
141360,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
179840,Color [A=255, R=255, G=255, B=255]
179880,Color [A=255, R=0, G=0, B=0]
180160,Color [A=255, R=255, G=255, B=255]
180200,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
215600,Color [A=255, R=255, G=255, B=255]
215640,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
219840,Color [A=255, R=255, G=255, B=255]
219880,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
251600,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
317200,Color [A=255, R=255, G=255, B=255]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
383480,Color [A=255, R=255, G=255, B=255]
398200,Color [A=255, R=255, G=255, B=255]
398240,Color [A=255, R=0, G=0, B=0]
399280,Color [A=255, R=255, G=255, B=255]
399320,Color [A=255, R=0, G=0, B=0]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
401240,Color [A=255, R=255, G=255, B=255]
401280,Color [A=255, R=0, G=0, B=0]
403480,Color [A=255, R=255, G=255, B=255]
403520,Color [A=255, R=0, G=0, B=0]
403600,Color [A=255, R=255, G=255, B=255]
403760,Color [A=255, R=0, G=0, B=0]
403960,Color [A=255, R=255, G=255, B=255]
404000,Color [A=255, R=0, G=0, B=0]
404080,Color [A=255, R=255, G=255, B=255]
404120,Color [A=255, R=0, G=0, B=0]
404480,Color [A=255, R=255, G=255, B=255]
404520,Color [A=255, R=0, G=0, B=0]
404840,Color [A=255, R=255, G=255, B=255]
404880,Color [A=255, R=0, G=0, B=0]
405120,Color [A=255, R=255, G=255, B=255]
405160,Color [A=255, R=0, G=0, B=0]
405240,Color [A=255, R=255, G=255, B=255]
405280,Color [A=255, R=0, G=0, B=0]
405560,Color [A=255, R=255, G=255, B=255]
405600,Color [A=255, R=0, G=0, B=0]
405680,Color [A=255, R=255, G=255, B=255]
405720,Color [A=255, R=0, G=0, B=0]
406200,Color [A=255, R=255, G=255, B=255]
406240,Color [A=255, R=0, G=0, B=0]
406360,Color [A=255, R=255, G=255, B=255]
406400,Color [A=255, R=0, G=0, B=0]
406480,Color [A=255, R=255, G=255, B=255]
406520,Color [A=255, R=0, G=0, B=0]
406880,Color [A=255, R=255, G=255, B=255]
406920,Color [A=255, R=0, G=0, B=0]
407400,Color [A=255, R=255, G=255, B=255]
407440,Color [A=255, R=0, G=0, B=0]
407600,Color [A=255, R=255, G=255, B=255]
407640,Color [A=255, R=0, G=0, B=0]
407960,Color [A=255, R=255, G=255, B=255]
408000,Color [A=255, R=0, G=0, B=0]
408320,Color [A=255, R=255, G=255, B=255]
408360,Color [A=255, R=0, G=0, B=0]
408440,Color [A=255, R=255, G=255, B=255]
408480,Color [A=255, R=0, G=0, B=0]
409560,Color [A=255, R=255, G=255, B=255]
409600,Color [A=255, R=0, G=0, B=0]
410240,Color [A=255, R=255, G=255, B=255]
410280,Color [A=255, R=0, G=0, B=0]
410800,Color [A=255, R=255, G=255, B=255]
410840,Color [A=255, R=0, G=0, B=0]
411040,Color [A=255, R=255, G=255, B=255]
411080,Color [A=255, R=0, G=0, B=0]
411120,Color [A=255, R=255, G=255, B=255]
411200,Color [A=255, R=0, G=0, B=0]
411320,Color [A=255, R=255, G=255, B=255]
411360,Color [A=255, R=0, G=0, B=0]
411720,Color [A=255, R=255, G=255, B=255]
411760,Color [A=255, R=0, G=0, B=0]
412120,Color [A=255, R=255, G=255, B=255]
412160,Color [A=255, R=0, G=0, B=0]
413080,Color [A=255, R=255, G=255, B=255]
413120,Color [A=255, R=0, G=0, B=0]
413440,Color [A=255, R=255, G=255, B=255]
413480,Color [A=255, R=0, G=0, B=0]
414000,Color [A=255, R=255, G=255, B=255]
414040,Color [A=255, R=0, G=0, B=0]
414120,Color [A=255, R=255, G=255, B=255]
414160,Color [A=255, R=0, G=0, B=0]
414240,Color [A=255, R=255, G=255, B=255]
414320,Color [A=255, R=0, G=0, B=0]
431800,Color [A=255, R=255, G=255, B=255]
431840,Color [A=255, R=0, G=0, B=0]
440360,Color [A=255, R=255, G=255, B=255]
440400,Color [A=255, R=0, G=0, B=0]
444200,Color [A=255, R=255, G=255, B=255]
444240,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
578240,Color [A=255, R=255, G=255, B=255]
578280,Color [A=255, R=0, G=0, B=0]
578320,Color [A=255, R=255, G=255, B=255]
578560,Color [A=255, R=0, G=0, B=0]
578680,Color [A=255, R=255, G=255, B=255]
578760,Color [A=255, R=0, G=0, B=0]
578800,Color [A=255, R=255, G=255, B=255]
578840,Color [A=255, R=0, G=0, B=0]
578880,Color [A=255, R=255, G=255, B=255]
578920,Color [A=255, R=0, G=0, B=0]
579080,Color [A=255, R=255, G=255, B=255]
579120,Color [A=255, R=0, G=0, B=0]
579200,Color [A=255, R=255, G=255, B=255]
579240,Color [A=255, R=0, G=0, B=0]
579440,Color [A=255, R=255, G=255, B=255]
579480,Color [A=255, R=0, G=0, B=0]
579520,Color [A=255, R=255, G=255, B=255]
579600,Color [A=255, R=0, G=0, B=0]
579640,Color [A=255, R=255, G=255, B=255]
579680,Color [A=255, R=0, G=0, B=0]
579840,Color [A=255, R=255, G=255, B=255]
579880,Color [A=255, R=0, G=0, B=0]
579920,Color [A=255, R=255, G=255, B=255]
579960,Color [A=255, R=0, G=0, B=0]
580080,Color [A=255, R=255, G=255, B=255]
580120,Color [A=255, R=0, G=0, B=0]
580160,Color [A=255, R=255, G=255, B=255]
580200,Color [A=255, R=0, G=0, B=0]
580240,Color [A=255, R=255, G=255, B=255]
580360,Color [A=255, R=0, G=0, B=0]
580480,Color [A=255, R=255, G=255, B=255]
580520,Color [A=255, R=0, G=0, B=0]
580880,Color [A=255, R=255, G=255, B=255]
580920,Color [A=255, R=0, G=0, B=0]
581240,Color [A=255, R=255, G=255, B=255]
581280,Color [A=255, R=0, G=0, B=0]
581720,Color [A=255, R=255, G=255, B=255]
581760,Color [A=255, R=0, G=0, B=0]
582280,Color [A=255, R=255, G=255, B=255]
582320,Color [A=255, R=0, G=0, B=0]
582560,Color [A=255, R=255, G=255, B=255]
582600,Color [A=255, R=0, G=0, B=0]
582760,Color [A=255, R=255, G=255, B=255]
582800,Color [A=255, R=0, G=0, B=0]
583000,Color [A=255, R=255, G=255, B=255]
583040,Color [A=255, R=0, G=0, B=0]
583120,Color [A=255, R=255, G=255, B=255]
583160,Color [A=255, R=0, G=0, B=0]
583600,Color [A=255, R=255, G=255, B=255]
583680,Color [A=255, R=0, G=0, B=0]
583840,Color [A=255, R=255, G=255, B=255]
583880,Color [A=255, R=0, G=0, B=0]
584120,Color [A=255, R=255, G=255, B=255]
584160,Color [A=255, R=0, G=0, B=0]
584520,Color [A=255, R=255, G=255, B=255]
584560,Color [A=255, R=0, G=0, B=0]
584640,Color [A=255, R=255, G=255, B=255]
584680,Color [A=255, R=0, G=0, B=0]
584920,Color [A=255, R=255, G=255, B=255]
584960,Color [A=255, R=0, G=0, B=0]
585360,Color [A=255, R=255, G=255, B=255]
585400,Color [A=255, R=0, G=0, B=0]
585680,Color [A=255, R=255, G=255, B=255]
585720,Color [A=255, R=0, G=0, B=0]
585800,Color [A=255, R=255, G=255, B=255]
585840,Color [A=255, R=0, G=0, B=0]
586160,Color [A=255, R=255, G=255, B=255]
586200,Color [A=255, R=0, G=0, B=0]
586840,Color [A=255, R=255, G=255, B=255]
586880,Color [A=255, R=0, G=0, B=0]
587480,Color [A=255, R=255, G=255, B=255]
587520,Color [A=255, R=0, G=0, B=0]
587880,Color [A=255, R=255, G=255, B=255]
587960,Color [A=255, R=0, G=0, B=0]
588120,Color [A=255, R=255, G=255, B=255]
588240,Color [A=255, R=0, G=0, B=0]
588360,Color [A=255, R=255, G=255, B=255]
588400,Color [A=255, R=0, G=0, B=0]
588520,Color [A=255, R=255, G=255, B=255]
588560,Color [A=255, R=0, G=0, B=0]
589200,Color [A=255, R=255, G=255, B=255]
589240,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
622160,Color [A=255, R=255, G=255, B=255]
622200,Color [A=255, R=0, G=0, B=0]
622840,Color [A=255, R=255, G=255, B=255]
622880,Color [A=255, R=0, G=0, B=0]
629920,Color [A=255, R=255, G=255, B=255]
629960,Color [A=255, R=0, G=0, B=0]
630040,Color [A=255, R=255, G=255, B=255]
630080,Color [A=255, R=0, G=0, B=0]
630280,Color [A=255, R=255, G=255, B=255]
630320,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
638840,Color [A=255, R=255, G=255, B=255]
638880,Color [A=255, R=0, G=0, B=0]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
649920,Color [A=255, R=255, G=255, B=255]
649960,Color [A=255, R=0, G=0, B=0]
650000,Color [A=255, R=255, G=255, B=255]
650040,Color [A=255, R=0, G=0, B=0]
650160,Color [A=255, R=255, G=255, B=255]
650200,Color [A=255, R=0, G=0, B=0]
650360,Color [A=255, R=255, G=255, B=255]
650400,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
703720,Color [A=255, R=255, G=255, B=255]
703760,Color [A=255, R=0, G=0, B=0]
703800,Color [A=255, R=255, G=255, B=255]
703840,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
728520,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
769000,Color [A=255, R=255, G=255, B=255]
769040,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
806320,Color [A=255, R=255, G=255, B=255]
806360,Color [A=255, R=0, G=0, B=0]
806440,Color [A=255, R=255, G=255, B=255]
806480,Color [A=255, R=0, G=0, B=0]
806560,Color [A=255, R=255, G=255, B=255]
806600,Color [A=255, R=0, G=0, B=0]
806760,Color [A=255, R=255, G=255, B=255]
806800,Color [A=255, R=0, G=0, B=0]
806840,Color [A=255, R=255, G=255, B=255]
807080,Color [A=255, R=0, G=0, B=0]
807200,Color [A=255, R=255, G=255, B=255]
807280,Color [A=255, R=0, G=0, B=0]
807320,Color [A=255, R=255, G=255, B=255]
807360,Color [A=255, R=0, G=0, B=0]
807400,Color [A=255, R=255, G=255, B=255]
807440,Color [A=255, R=0, G=0, B=0]
807600,Color [A=255, R=255, G=255, B=255]
807640,Color [A=255, R=0, G=0, B=0]
807720,Color [A=255, R=255, G=255, B=255]
807760,Color [A=255, R=0, G=0, B=0]
807960,Color [A=255, R=255, G=255, B=255]
808000,Color [A=255, R=0, G=0, B=0]
808040,Color [A=255, R=255, G=255, B=255]
808120,Color [A=255, R=0, G=0, B=0]
808160,Color [A=255, R=255, G=255, B=255]
808200,Color [A=255, R=0, G=0, B=0]
808360,Color [A=255, R=255, G=255, B=255]
808400,Color [A=255, R=0, G=0, B=0]
808440,Color [A=255, R=255, G=255, B=255]
808480,Color [A=255, R=0, G=0, B=0]
808600,Color [A=255, R=255, G=255, B=255]
808720,Color [A=255, R=0, G=0, B=0]
808760,Color [A=255, R=255, G=255, B=255]
808880,Color [A=255, R=0, G=0, B=0]
