40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
655240,Color [A=255, R=255, G=255, B=255]
720760,Color [A=255, R=255, G=255, B=255]
786280,Color [A=255, R=255, G=255, B=255]
851800,Color [A=255, R=255, G=255, B=255]
917320,Color [A=255, R=255, G=255, B=255]
982840,Color [A=255, R=255, G=255, B=255]
1048360,Color [A=255, R=255, G=255, B=255]
1113880,Color [A=255, R=255, G=255, B=255]
1179400,Color [A=255, R=255, G=255, B=255]
1244920,Color [A=255, R=255, G=255, B=255]
1310440,Color [A=255, R=255, G=255, B=255]
1375960,Color [A=255, R=255, G=255, B=255]
1428080,Color [A=255, R=255, G=255, B=255]
1428720,Color [A=255, R=0, G=0, B=0]
1440880,Color [A=255, R=255, G=255, B=255]
1440920,Color [A=255, R=0, G=0, B=0]
1490120,Color [A=255, R=255, G=255, B=255]
1490160,Color [A=255, R=0, G=0, B=0]
1492520,Color [A=255, R=255, G=255, B=255]
1492560,Color [A=255, R=0, G=0, B=0]
1496000,Color [A=255, R=255, G=255, B=255]
1496040,Color [A=255, R=0, G=0, B=0]
1499000,Color [A=255, R=255, G=255, B=255]
1499040,Color [A=255, R=0, G=0, B=0]
1528600,Color [A=255, R=255, G=255, B=255]
1528640,Color [A=255, R=0, G=0, B=0]
1547600,Color [A=255, R=255, G=255, B=255]
1547640,Color [A=255, R=0, G=0, B=0]
1555240,Color [A=255, R=255, G=255, B=255]
1555280,Color [A=255, R=0, G=0, B=0]
1620800,Color [A=255, R=255, G=255, B=255]
1686320,Color [A=255, R=255, G=255, B=255]
1751840,Color [A=255, R=255, G=255, B=255]
1817360,Color [A=255, R=255, G=255, B=255]
1882880,Color [A=255, R=255, G=255, B=255]
1948400,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
