40,Color [A=255, R=255, G=206, B=31]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
38480,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
58760,Color [A=255, R=255, G=255, B=255]
58800,Color [A=255, R=0, G=0, B=0]
66000,Color [A=255, R=255, G=255, B=255]
66040,Color [A=255, R=0, G=0, B=0]
84920,Color [A=255, R=255, G=255, B=255]
84960,Color [A=255, R=0, G=0, B=0]
88600,Color [A=255, R=255, G=255, B=255]
88640,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
95480,Color [A=255, R=255, G=255, B=255]
95520,Color [A=255, R=0, G=0, B=0]
105000,Color [A=255, R=255, G=255, B=255]
105040,Color [A=255, R=0, G=0, B=0]
108960,Color [A=255, R=255, G=255, B=255]
109000,Color [A=255, R=0, G=0, B=0]
115920,Color [A=255, R=255, G=255, B=255]
115960,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
124280,Color [A=255, R=255, G=255, B=255]
124320,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
131960,Color [A=255, R=255, G=255, B=255]
132000,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
141400,Color [A=255, R=255, G=255, B=255]
141440,Color [A=255, R=0, G=0, B=0]
141560,Color [A=255, R=255, G=255, B=255]
