40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
107200,Color [A=255, R=255, G=255, B=255]
107240,Color [A=255, R=0, G=0, B=0]
123160,Color [A=255, R=255, G=255, B=255]
123200,Color [A=255, R=0, G=0, B=0]
134480,Color [A=255, R=255, G=255, B=255]
134520,Color [A=255, R=0, G=0, B=0]
200040,Color [A=255, R=255, G=255, B=255]
209120,Color [A=255, R=255, G=255, B=255]
209160,Color [A=255, R=0, G=0, B=0]
238640,Color [A=255, R=255, G=255, B=255]
238680,Color [A=255, R=0, G=0, B=0]
304200,Color [A=255, R=255, G=255, B=255]
345160,Color [A=255, R=255, G=255, B=255]
345200,Color [A=255, R=0, G=0, B=0]
380360,Color [A=255, R=255, G=255, B=255]
380400,Color [A=255, R=0, G=0, B=0]
404160,Color [A=255, R=255, G=255, B=255]
404200,Color [A=255, R=0, G=0, B=0]
405320,Color [A=255, R=255, G=255, B=255]
405360,Color [A=255, R=0, G=0, B=0]
407160,Color [A=255, R=255, G=255, B=255]
407200,Color [A=255, R=0, G=0, B=0]
411800,Color [A=255, R=255, G=255, B=255]
411840,Color [A=255, R=0, G=0, B=0]
445760,Color [A=255, R=255, G=255, B=255]
445800,Color [A=255, R=0, G=0, B=0]
505960,Color [A=255, R=255, G=255, B=255]
506000,Color [A=255, R=0, G=0, B=0]
555520,Color [A=255, R=255, G=255, B=255]
555560,Color [A=255, R=0, G=0, B=0]
580640,Color [A=255, R=255, G=255, B=255]
580680,Color [A=255, R=0, G=0, B=0]
581960,Color [A=255, R=255, G=255, B=255]
582000,Color [A=255, R=0, G=0, B=0]
583800,Color [A=255, R=255, G=255, B=255]
583840,Color [A=255, R=0, G=0, B=0]
583960,Color [A=255, R=255, G=255, B=255]
584000,Color [A=255, R=0, G=0, B=0]
630720,Color [A=255, R=255, G=255, B=255]
630760,Color [A=255, R=0, G=0, B=0]
630800,Color [A=255, R=255, G=255, B=255]
630840,Color [A=255, R=0, G=0, B=0]
680440,Color [A=255, R=255, G=255, B=255]
680480,Color [A=255, R=0, G=0, B=0]
