40,Color [A=255, R=255, G=206, B=31]
4360,Color [A=255, R=255, G=255, B=255]
4400,Color [A=255, R=0, G=0, B=0]
69920,Color [A=255, R=255, G=255, B=255]
118840,Color [A=255, R=255, G=255, B=255]
118880,Color [A=255, R=0, G=0, B=0]
144440,Color [A=255, R=255, G=255, B=255]
144480,Color [A=255, R=0, G=0, B=0]
210000,Color [A=255, R=255, G=255, B=255]
242400,Color [A=255, R=255, G=255, B=255]
242440,Color [A=255, R=0, G=0, B=0]
307960,Color [A=255, R=255, G=255, B=255]
316480,Color [A=255, R=255, G=255, B=255]
316520,Color [A=255, R=0, G=0, B=0]
355680,Color [A=255, R=255, G=255, B=255]
355720,Color [A=255, R=0, G=0, B=0]
391600,Color [A=255, R=255, G=255, B=255]
391640,Color [A=255, R=0, G=0, B=0]
421680,Color [A=255, R=255, G=255, B=255]
421720,Color [A=255, R=0, G=0, B=0]
433680,Color [A=255, R=255, G=255, B=255]
433720,Color [A=255, R=0, G=0, B=0]
499240,Color [A=255, R=255, G=255, B=255]
520280,Color [A=255, R=255, G=255, B=255]
520320,Color [A=255, R=0, G=0, B=0]
585840,Color [A=255, R=255, G=255, B=255]
651360,Color [A=255, R=255, G=255, B=255]
716880,Color [A=255, R=255, G=255, B=255]
733640,Color [A=255, R=255, G=255, B=255]
733680,Color [A=255, R=0, G=0, B=0]
758080,Color [A=255, R=255, G=255, B=255]
758120,Color [A=255, R=0, G=0, B=0]
823640,Color [A=255, R=255, G=255, B=255]
889160,Color [A=255, R=255, G=255, B=255]
895240,Color [A=255, R=255, G=255, B=255]
895280,Color [A=255, R=0, G=0, B=0]
951880,Color [A=255, R=255, G=255, B=255]
951920,Color [A=255, R=0, G=0, B=0]
1017440,Color [A=255, R=255, G=255, B=255]
1048160,Color [A=255, R=255, G=255, B=255]
1048200,Color [A=255, R=0, G=0, B=0]
1113720,Color [A=255, R=255, G=255, B=255]
1179240,Color [A=255, R=255, G=255, B=255]
1182120,Color [A=255, R=255, G=255, B=255]
1182160,Color [A=255, R=0, G=0, B=0]
1247680,Color [A=255, R=255, G=255, B=255]
1269520,Color [A=255, R=255, G=255, B=255]
1269560,Color [A=255, R=0, G=0, B=0]
1299160,Color [A=255, R=255, G=255, B=255]
1299200,Color [A=255, R=0, G=0, B=0]
1364720,Color [A=255, R=255, G=255, B=255]
1400800,Color [A=255, R=255, G=255, B=255]
1400840,Color [A=255, R=0, G=0, B=0]
1466360,Color [A=255, R=255, G=255, B=255]
1531880,Color [A=255, R=255, G=255, B=255]
1597400,Color [A=255, R=255, G=255, B=255]
1622880,Color [A=255, R=255, G=255, B=255]
1622920,Color [A=255, R=0, G=0, B=0]
1625400,Color [A=255, R=255, G=255, B=255]
1625440,Color [A=255, R=0, G=0, B=0]
1631080,Color [A=255, R=255, G=255, B=255]
1631120,Color [A=255, R=0, G=0, B=0]
1634560,Color [A=255, R=255, G=255, B=255]
1634600,Color [A=255, R=0, G=0, B=0]
1643520,Color [A=255, R=255, G=255, B=255]
1643560,Color [A=255, R=0, G=0, B=0]
1680600,Color [A=255, R=255, G=255, B=255]
1680640,Color [A=255, R=0, G=0, B=0]
1683040,Color [A=255, R=255, G=255, B=255]
1683080,Color [A=255, R=0, G=0, B=0]
1748600,Color [A=255, R=255, G=255, B=255]
1814120,Color [A=255, R=255, G=255, B=255]
1879640,Color [A=255, R=255, G=255, B=255]
1916280,Color [A=255, R=255, G=255, B=255]
1916320,Color [A=255, R=0, G=0, B=0]
1968480,Color [A=255, R=255, G=255, B=255]
