40,Color [A=255, R=255, G=206, B=31]
560,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
640,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
1040,Color [A=255, R=255, G=255, B=255]
1080,Color [A=255, R=0, G=0, B=0]
1440,Color [A=255, R=255, G=255, B=255]
1560,Color [A=255, R=0, G=0, B=0]
1720,Color [A=255, R=255, G=255, B=255]
1760,Color [A=255, R=0, G=0, B=0]
1840,Color [A=255, R=255, G=255, B=255]
1880,Color [A=255, R=0, G=0, B=0]
2040,Color [A=255, R=255, G=255, B=255]
2080,Color [A=255, R=0, G=0, B=0]
2440,Color [A=255, R=255, G=255, B=255]
2480,Color [A=255, R=0, G=0, B=0]
2640,Color [A=255, R=255, G=255, B=255]
2680,Color [A=255, R=0, G=0, B=0]
2920,Color [A=255, R=255, G=255, B=255]
2960,Color [A=255, R=0, G=0, B=0]
3360,Color [A=255, R=255, G=255, B=255]
3400,Color [A=255, R=0, G=0, B=0]
3680,Color [A=255, R=255, G=255, B=255]
3720,Color [A=255, R=0, G=0, B=0]
4200,Color [A=255, R=255, G=255, B=255]
4240,Color [A=255, R=0, G=0, B=0]
4320,Color [A=255, R=255, G=255, B=255]
4360,Color [A=255, R=0, G=0, B=0]
4400,Color [A=255, R=255, G=255, B=255]
4440,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
4920,Color [A=255, R=0, G=0, B=0]
5040,Color [A=255, R=255, G=255, B=255]
5080,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
5440,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
5760,Color [A=255, R=255, G=255, B=255]
5800,Color [A=255, R=0, G=0, B=0]
6080,Color [A=255, R=255, G=255, B=255]
6120,Color [A=255, R=0, G=0, B=0]
6320,Color [A=255, R=255, G=255, B=255]
6360,Color [A=255, R=0, G=0, B=0]
7280,Color [A=255, R=255, G=255, B=255]
7320,Color [A=255, R=0, G=0, B=0]
7480,Color [A=255, R=255, G=255, B=255]
7520,Color [A=255, R=0, G=0, B=0]
7800,Color [A=255, R=255, G=255, B=255]
7840,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7960,Color [A=255, R=0, G=0, B=0]
8280,Color [A=255, R=255, G=255, B=255]
8320,Color [A=255, R=0, G=0, B=0]
8840,Color [A=255, R=255, G=255, B=255]
8880,Color [A=255, R=0, G=0, B=0]
9000,Color [A=255, R=255, G=255, B=255]
9040,Color [A=255, R=0, G=0, B=0]
9280,Color [A=255, R=255, G=255, B=255]
9320,Color [A=255, R=0, G=0, B=0]
10040,Color [A=255, R=255, G=255, B=255]
10080,Color [A=255, R=0, G=0, B=0]
10240,Color [A=255, R=255, G=255, B=255]
10280,Color [A=255, R=0, G=0, B=0]
10400,Color [A=255, R=255, G=255, B=255]
10440,Color [A=255, R=0, G=0, B=0]
10720,Color [A=255, R=255, G=255, B=255]
10760,Color [A=255, R=0, G=0, B=0]
11800,Color [A=255, R=255, G=255, B=255]
11840,Color [A=255, R=0, G=0, B=0]
11920,Color [A=255, R=255, G=255, B=255]
11960,Color [A=255, R=0, G=0, B=0]
12000,Color [A=255, R=255, G=255, B=255]
12040,Color [A=255, R=0, G=0, B=0]
13600,Color [A=255, R=255, G=255, B=255]
13640,Color [A=255, R=0, G=0, B=0]
13760,Color [A=255, R=255, G=255, B=255]
13840,Color [A=255, R=0, G=0, B=0]
14080,Color [A=255, R=255, G=255, B=255]
14120,Color [A=255, R=0, G=0, B=0]
14920,Color [A=255, R=255, G=255, B=255]
14960,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15080,Color [A=255, R=0, G=0, B=0]
15920,Color [A=255, R=255, G=255, B=255]
15960,Color [A=255, R=0, G=0, B=0]
16080,Color [A=255, R=255, G=255, B=255]
16120,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21760,Color [A=255, R=0, G=0, B=0]
21800,Color [A=255, R=255, G=255, B=255]
21840,Color [A=255, R=0, G=0, B=0]
22560,Color [A=255, R=255, G=255, B=255]
22600,Color [A=255, R=0, G=0, B=0]
22720,Color [A=255, R=255, G=255, B=255]
22760,Color [A=255, R=0, G=0, B=0]
23120,Color [A=255, R=255, G=255, B=255]
23160,Color [A=255, R=0, G=0, B=0]
23600,Color [A=255, R=255, G=255, B=255]
23640,Color [A=255, R=0, G=0, B=0]
24240,Color [A=255, R=255, G=255, B=255]
24280,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24400,Color [A=255, R=0, G=0, B=0]
24560,Color [A=255, R=255, G=255, B=255]
24600,Color [A=255, R=0, G=0, B=0]
24680,Color [A=255, R=255, G=255, B=255]
24720,Color [A=255, R=0, G=0, B=0]
24760,Color [A=255, R=255, G=255, B=255]
24800,Color [A=255, R=0, G=0, B=0]
25240,Color [A=255, R=255, G=255, B=255]
25280,Color [A=255, R=0, G=0, B=0]
25440,Color [A=255, R=255, G=255, B=255]
25480,Color [A=255, R=0, G=0, B=0]
26080,Color [A=255, R=255, G=255, B=255]
26120,Color [A=255, R=0, G=0, B=0]
26480,Color [A=255, R=255, G=255, B=255]
26520,Color [A=255, R=0, G=0, B=0]
26560,Color [A=255, R=255, G=255, B=255]
26600,Color [A=255, R=0, G=0, B=0]
26680,Color [A=255, R=255, G=255, B=255]
26720,Color [A=255, R=0, G=0, B=0]
26800,Color [A=255, R=255, G=255, B=255]
26840,Color [A=255, R=0, G=0, B=0]
27280,Color [A=255, R=255, G=255, B=255]
27320,Color [A=255, R=0, G=0, B=0]
27400,Color [A=255, R=255, G=255, B=255]
27440,Color [A=255, R=0, G=0, B=0]
27760,Color [A=255, R=255, G=255, B=255]
27800,Color [A=255, R=0, G=0, B=0]
27960,Color [A=255, R=255, G=255, B=255]
28000,Color [A=255, R=0, G=0, B=0]
28040,Color [A=255, R=255, G=255, B=255]
28080,Color [A=255, R=0, G=0, B=0]
28880,Color [A=255, R=255, G=255, B=255]
28920,Color [A=255, R=0, G=0, B=0]
29320,Color [A=255, R=255, G=255, B=255]
29360,Color [A=255, R=0, G=0, B=0]
30680,Color [A=255, R=255, G=255, B=255]
30720,Color [A=255, R=0, G=0, B=0]
31000,Color [A=255, R=255, G=255, B=255]
31040,Color [A=255, R=0, G=0, B=0]
31120,Color [A=255, R=255, G=255, B=255]
31160,Color [A=255, R=0, G=0, B=0]
31400,Color [A=255, R=255, G=255, B=255]
31440,Color [A=255, R=0, G=0, B=0]
32080,Color [A=255, R=255, G=255, B=255]
32120,Color [A=255, R=0, G=0, B=0]
32160,Color [A=255, R=255, G=255, B=255]
32200,Color [A=255, R=0, G=0, B=0]
32280,Color [A=255, R=255, G=255, B=255]
32320,Color [A=255, R=0, G=0, B=0]
32360,Color [A=255, R=255, G=255, B=255]
32400,Color [A=255, R=0, G=0, B=0]
32680,Color [A=255, R=255, G=255, B=255]
32720,Color [A=255, R=0, G=0, B=0]
32920,Color [A=255, R=255, G=255, B=255]
32960,Color [A=255, R=0, G=0, B=0]
33000,Color [A=255, R=255, G=255, B=255]
33040,Color [A=255, R=0, G=0, B=0]
33560,Color [A=255, R=255, G=255, B=255]
33600,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34720,Color [A=255, R=0, G=0, B=0]
34760,Color [A=255, R=255, G=255, B=255]
34800,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
35120,Color [A=255, R=255, G=255, B=255]
35160,Color [A=255, R=0, G=0, B=0]
35840,Color [A=255, R=255, G=255, B=255]
35880,Color [A=255, R=0, G=0, B=0]
36080,Color [A=255, R=255, G=255, B=255]
36120,Color [A=255, R=0, G=0, B=0]
36960,Color [A=255, R=255, G=255, B=255]
37000,Color [A=255, R=0, G=0, B=0]
37240,Color [A=255, R=255, G=255, B=255]
37280,Color [A=255, R=0, G=0, B=0]
38120,Color [A=255, R=255, G=255, B=255]
38200,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38360,Color [A=255, R=0, G=0, B=0]
38400,Color [A=255, R=255, G=255, B=255]
38440,Color [A=255, R=0, G=0, B=0]
38560,Color [A=255, R=255, G=255, B=255]
38600,Color [A=255, R=0, G=0, B=0]
38800,Color [A=255, R=255, G=255, B=255]
38840,Color [A=255, R=0, G=0, B=0]
39080,Color [A=255, R=255, G=255, B=255]
39120,Color [A=255, R=0, G=0, B=0]
39280,Color [A=255, R=255, G=255, B=255]
39320,Color [A=255, R=0, G=0, B=0]
39600,Color [A=255, R=255, G=255, B=255]
39640,Color [A=255, R=0, G=0, B=0]
39720,Color [A=255, R=255, G=255, B=255]
39760,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
40280,Color [A=255, R=255, G=255, B=255]
40320,Color [A=255, R=0, G=0, B=0]
40440,Color [A=255, R=255, G=255, B=255]
40480,Color [A=255, R=0, G=0, B=0]
40640,Color [A=255, R=255, G=255, B=255]
40680,Color [A=255, R=0, G=0, B=0]
40880,Color [A=255, R=255, G=255, B=255]
40920,Color [A=255, R=0, G=0, B=0]
40960,Color [A=255, R=255, G=255, B=255]
41000,Color [A=255, R=0, G=0, B=0]
41040,Color [A=255, R=255, G=255, B=255]
