40,Color [A=255, R=255, G=206, B=31]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
65800,Color [A=255, R=255, G=255, B=255]
103560,Color [A=255, R=255, G=255, B=255]
103600,Color [A=255, R=0, G=0, B=0]
169120,Color [A=255, R=255, G=255, B=255]
169320,Color [A=255, R=255, G=255, B=255]
169360,Color [A=255, R=0, G=0, B=0]
234880,Color [A=255, R=255, G=255, B=255]
300400,Color [A=255, R=255, G=255, B=255]
363840,Color [A=255, R=255, G=255, B=255]
363880,Color [A=255, R=0, G=0, B=0]
369280,Color [A=255, R=255, G=255, B=255]
369320,Color [A=255, R=0, G=0, B=0]
423560,Color [A=255, R=255, G=255, B=255]
423600,Color [A=255, R=0, G=0, B=0]
489120,Color [A=255, R=255, G=255, B=255]
538200,Color [A=255, R=255, G=255, B=255]
538240,Color [A=255, R=0, G=0, B=0]
603760,Color [A=255, R=255, G=255, B=255]
616360,Color [A=255, R=255, G=255, B=255]
616400,Color [A=255, R=0, G=0, B=0]
681920,Color [A=255, R=255, G=255, B=255]
682800,Color [A=255, R=255, G=255, B=255]
682840,Color [A=255, R=0, G=0, B=0]
728440,Color [A=255, R=255, G=255, B=255]
728480,Color [A=255, R=0, G=0, B=0]
731560,Color [A=255, R=255, G=255, B=255]
731600,Color [A=255, R=0, G=0, B=0]
797120,Color [A=255, R=255, G=255, B=255]
862640,Color [A=255, R=255, G=255, B=255]
928160,Color [A=255, R=255, G=255, B=255]
993680,Color [A=255, R=255, G=255, B=255]
1059200,Color [A=255, R=255, G=255, B=255]
1124720,Color [A=255, R=255, G=255, B=255]
1159160,Color [A=255, R=255, G=255, B=255]
1159200,Color [A=255, R=0, G=0, B=0]
1224720,Color [A=255, R=255, G=255, B=255]
1281600,Color [A=255, R=255, G=255, B=255]
1281640,Color [A=255, R=0, G=0, B=0]
1342640,Color [A=255, R=255, G=255, B=255]
1342680,Color [A=255, R=0, G=0, B=0]
1405560,Color [A=255, R=255, G=255, B=255]
1405600,Color [A=255, R=0, G=0, B=0]
1471120,Color [A=255, R=255, G=255, B=255]
1520400,Color [A=255, R=255, G=255, B=255]
1520440,Color [A=255, R=0, G=0, B=0]
1585960,Color [A=255, R=255, G=255, B=255]
1651480,Color [A=255, R=255, G=255, B=255]
1658360,Color [A=255, R=255, G=255, B=255]
1658400,Color [A=255, R=0, G=0, B=0]
1723920,Color [A=255, R=255, G=255, B=255]
1748000,Color [A=255, R=255, G=255, B=255]
1748040,Color [A=255, R=0, G=0, B=0]
1813560,Color [A=255, R=255, G=255, B=255]
1879080,Color [A=255, R=255, G=255, B=255]
1915680,Color [A=255, R=255, G=255, B=255]
1915720,Color [A=255, R=0, G=0, B=0]
1968480,Color [A=255, R=255, G=255, B=255]
