40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
840,Color [A=255, R=255, G=255, B=255]
880,Color [A=255, R=0, G=0, B=0]
960,Color [A=255, R=255, G=255, B=255]
1000,Color [A=255, R=0, G=0, B=0]
1680,Color [A=255, R=255, G=255, B=255]
1720,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
1880,Color [A=255, R=255, G=255, B=255]
1920,Color [A=255, R=0, G=0, B=0]
2080,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2280,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2400,Color [A=255, R=255, G=255, B=255]
2440,Color [A=255, R=0, G=0, B=0]
2600,Color [A=255, R=255, G=255, B=255]
2640,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
3080,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3640,Color [A=255, R=255, G=255, B=255]
3680,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
4600,Color [A=255, R=255, G=255, B=255]
4640,Color [A=255, R=0, G=0, B=0]
4720,Color [A=255, R=255, G=255, B=255]
4760,Color [A=255, R=0, G=0, B=0]
5080,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5400,Color [A=255, R=0, G=0, B=0]
5640,Color [A=255, R=255, G=255, B=255]
5680,Color [A=255, R=0, G=0, B=0]
6040,Color [A=255, R=255, G=255, B=255]
6080,Color [A=255, R=0, G=0, B=0]
6120,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
6920,Color [A=255, R=255, G=255, B=255]
6960,Color [A=255, R=0, G=0, B=0]
7120,Color [A=255, R=255, G=255, B=255]
7160,Color [A=255, R=0, G=0, B=0]
7240,Color [A=255, R=255, G=255, B=255]
7280,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
7760,Color [A=255, R=255, G=255, B=255]
7800,Color [A=255, R=0, G=0, B=0]
8360,Color [A=255, R=255, G=255, B=255]
8400,Color [A=255, R=0, G=0, B=0]
9440,Color [A=255, R=255, G=255, B=255]
9480,Color [A=255, R=0, G=0, B=0]
9520,Color [A=255, R=255, G=255, B=255]
9560,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
9760,Color [A=255, R=255, G=255, B=255]
9800,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
10120,Color [A=255, R=255, G=255, B=255]
10160,Color [A=255, R=0, G=0, B=0]
10440,Color [A=255, R=255, G=255, B=255]
10480,Color [A=255, R=0, G=0, B=0]
11000,Color [A=255, R=255, G=255, B=255]
11040,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
11560,Color [A=255, R=255, G=255, B=255]
11640,Color [A=255, R=0, G=0, B=0]
12120,Color [A=255, R=255, G=255, B=255]
12160,Color [A=255, R=0, G=0, B=0]
12800,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
13200,Color [A=255, R=255, G=255, B=255]
13240,Color [A=255, R=0, G=0, B=0]
13560,Color [A=255, R=255, G=255, B=255]
13600,Color [A=255, R=0, G=0, B=0]
13720,Color [A=255, R=255, G=255, B=255]
13760,Color [A=255, R=0, G=0, B=0]
14200,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
14880,Color [A=255, R=255, G=255, B=255]
14920,Color [A=255, R=0, G=0, B=0]
15240,Color [A=255, R=255, G=255, B=255]
15280,Color [A=255, R=0, G=0, B=0]
15640,Color [A=255, R=255, G=255, B=255]
15680,Color [A=255, R=0, G=0, B=0]
16040,Color [A=255, R=255, G=255, B=255]
16080,Color [A=255, R=0, G=0, B=0]
21920,Color [A=255, R=255, G=255, B=255]
21960,Color [A=255, R=0, G=0, B=0]
22280,Color [A=255, R=255, G=255, B=255]
22320,Color [A=255, R=0, G=0, B=0]
22440,Color [A=255, R=255, G=255, B=255]
22480,Color [A=255, R=0, G=0, B=0]
22520,Color [A=255, R=255, G=255, B=255]
22560,Color [A=255, R=0, G=0, B=0]
22800,Color [A=255, R=255, G=255, B=255]
22840,Color [A=255, R=0, G=0, B=0]
22960,Color [A=255, R=255, G=255, B=255]
23040,Color [A=255, R=0, G=0, B=0]
23320,Color [A=255, R=255, G=255, B=255]
23360,Color [A=255, R=0, G=0, B=0]
23560,Color [A=255, R=255, G=255, B=255]
23600,Color [A=255, R=0, G=0, B=0]
23680,Color [A=255, R=255, G=255, B=255]
23720,Color [A=255, R=0, G=0, B=0]
23760,Color [A=255, R=255, G=255, B=255]
23840,Color [A=255, R=0, G=0, B=0]
24040,Color [A=255, R=255, G=255, B=255]
24080,Color [A=255, R=0, G=0, B=0]
24200,Color [A=255, R=255, G=255, B=255]
24240,Color [A=255, R=0, G=0, B=0]
24640,Color [A=255, R=255, G=255, B=255]
24680,Color [A=255, R=0, G=0, B=0]
25200,Color [A=255, R=255, G=255, B=255]
25240,Color [A=255, R=0, G=0, B=0]
25320,Color [A=255, R=255, G=255, B=255]
25360,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25880,Color [A=255, R=255, G=255, B=255]
25960,Color [A=255, R=0, G=0, B=0]
26040,Color [A=255, R=255, G=255, B=255]
26080,Color [A=255, R=0, G=0, B=0]
26280,Color [A=255, R=255, G=255, B=255]
26360,Color [A=255, R=0, G=0, B=0]
26600,Color [A=255, R=255, G=255, B=255]
26640,Color [A=255, R=0, G=0, B=0]
26880,Color [A=255, R=255, G=255, B=255]
26920,Color [A=255, R=0, G=0, B=0]
26960,Color [A=255, R=255, G=255, B=255]
27000,Color [A=255, R=0, G=0, B=0]
27240,Color [A=255, R=255, G=255, B=255]
27280,Color [A=255, R=0, G=0, B=0]
27720,Color [A=255, R=255, G=255, B=255]
27760,Color [A=255, R=0, G=0, B=0]
27920,Color [A=255, R=255, G=255, B=255]
27960,Color [A=255, R=0, G=0, B=0]
28080,Color [A=255, R=255, G=255, B=255]
28120,Color [A=255, R=0, G=0, B=0]
28280,Color [A=255, R=255, G=255, B=255]
28320,Color [A=255, R=0, G=0, B=0]
29080,Color [A=255, R=255, G=255, B=255]
29120,Color [A=255, R=0, G=0, B=0]
29160,Color [A=255, R=255, G=255, B=255]
29200,Color [A=255, R=0, G=0, B=0]
29240,Color [A=255, R=255, G=255, B=255]
29320,Color [A=255, R=0, G=0, B=0]
29440,Color [A=255, R=255, G=255, B=255]
29480,Color [A=255, R=0, G=0, B=0]
29920,Color [A=255, R=255, G=255, B=255]
29960,Color [A=255, R=0, G=0, B=0]
30160,Color [A=255, R=255, G=255, B=255]
30200,Color [A=255, R=0, G=0, B=0]
30600,Color [A=255, R=255, G=255, B=255]
30640,Color [A=255, R=0, G=0, B=0]
30720,Color [A=255, R=255, G=255, B=255]
30760,Color [A=255, R=0, G=0, B=0]
30960,Color [A=255, R=255, G=255, B=255]
31000,Color [A=255, R=0, G=0, B=0]
31360,Color [A=255, R=255, G=255, B=255]
31400,Color [A=255, R=0, G=0, B=0]
31520,Color [A=255, R=255, G=255, B=255]
31560,Color [A=255, R=0, G=0, B=0]
31680,Color [A=255, R=255, G=255, B=255]
31720,Color [A=255, R=0, G=0, B=0]
31840,Color [A=255, R=255, G=255, B=255]
31880,Color [A=255, R=0, G=0, B=0]
32040,Color [A=255, R=255, G=255, B=255]
32080,Color [A=255, R=0, G=0, B=0]
32240,Color [A=255, R=255, G=255, B=255]
32280,Color [A=255, R=0, G=0, B=0]
32440,Color [A=255, R=255, G=255, B=255]
32480,Color [A=255, R=0, G=0, B=0]
32560,Color [A=255, R=255, G=255, B=255]
32600,Color [A=255, R=0, G=0, B=0]
32640,Color [A=255, R=255, G=255, B=255]
32680,Color [A=255, R=0, G=0, B=0]
32880,Color [A=255, R=255, G=255, B=255]
32920,Color [A=255, R=0, G=0, B=0]
33240,Color [A=255, R=255, G=255, B=255]
33280,Color [A=255, R=0, G=0, B=0]
33920,Color [A=255, R=255, G=255, B=255]
33960,Color [A=255, R=0, G=0, B=0]
34000,Color [A=255, R=255, G=255, B=255]
34040,Color [A=255, R=0, G=0, B=0]
34440,Color [A=255, R=255, G=255, B=255]
34520,Color [A=255, R=0, G=0, B=0]
34880,Color [A=255, R=255, G=255, B=255]
34960,Color [A=255, R=0, G=0, B=0]
35320,Color [A=255, R=255, G=255, B=255]
35360,Color [A=255, R=0, G=0, B=0]
35880,Color [A=255, R=255, G=255, B=255]
35920,Color [A=255, R=0, G=0, B=0]
36040,Color [A=255, R=255, G=255, B=255]
36080,Color [A=255, R=0, G=0, B=0]
36200,Color [A=255, R=255, G=255, B=255]
36240,Color [A=255, R=0, G=0, B=0]
36320,Color [A=255, R=255, G=255, B=255]
36360,Color [A=255, R=0, G=0, B=0]
36480,Color [A=255, R=255, G=255, B=255]
36520,Color [A=255, R=0, G=0, B=0]
36600,Color [A=255, R=255, G=255, B=255]
36640,Color [A=255, R=0, G=0, B=0]
36800,Color [A=255, R=255, G=255, B=255]
36840,Color [A=255, R=0, G=0, B=0]
36920,Color [A=255, R=255, G=255, B=255]
36960,Color [A=255, R=0, G=0, B=0]
37120,Color [A=255, R=255, G=255, B=255]
37160,Color [A=255, R=0, G=0, B=0]
37200,Color [A=255, R=255, G=255, B=255]
37240,Color [A=255, R=0, G=0, B=0]
37560,Color [A=255, R=255, G=255, B=255]
37600,Color [A=255, R=0, G=0, B=0]
38520,Color [A=255, R=255, G=255, B=255]
38560,Color [A=255, R=0, G=0, B=0]
