40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
238520,Color [A=255, R=255, G=255, B=255]
238560,Color [A=255, R=0, G=0, B=0]
304080,Color [A=255, R=255, G=255, B=255]
369600,Color [A=255, R=255, G=255, B=255]
435120,Color [A=255, R=255, G=255, B=255]
500640,Color [A=255, R=255, G=255, B=255]
566160,Color [A=255, R=255, G=255, B=255]
631680,Color [A=255, R=255, G=255, B=255]
697200,Color [A=255, R=255, G=255, B=255]
762720,Color [A=255, R=255, G=255, B=255]
828240,Color [A=255, R=255, G=255, B=255]
893760,Color [A=255, R=255, G=255, B=255]
959280,Color [A=255, R=255, G=255, B=255]
1024800,Color [A=255, R=255, G=255, B=255]
1090320,Color [A=255, R=255, G=255, B=255]
1155840,Color [A=255, R=255, G=255, B=255]
1221360,Color [A=255, R=255, G=255, B=255]
1286880,Color [A=255, R=255, G=255, B=255]
1352400,Color [A=255, R=255, G=255, B=255]
1417920,Color [A=255, R=255, G=255, B=255]
1483440,Color [A=255, R=255, G=255, B=255]
1548960,Color [A=255, R=255, G=255, B=255]
1614480,Color [A=255, R=255, G=255, B=255]
1680000,Color [A=255, R=255, G=255, B=255]
1745520,Color [A=255, R=255, G=255, B=255]
1811040,Color [A=255, R=255, G=255, B=255]
1876560,Color [A=255, R=255, G=255, B=255]
1942080,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
