40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
115640,Color [A=255, R=255, G=255, B=255]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
310320,Color [A=255, R=255, G=255, B=255]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
366440,Color [A=255, R=255, G=255, B=255]
366480,Color [A=255, R=0, G=0, B=0]
390800,Color [A=255, R=255, G=255, B=255]
390840,Color [A=255, R=0, G=0, B=0]
398280,Color [A=255, R=255, G=255, B=255]
398320,Color [A=255, R=0, G=0, B=0]
428600,Color [A=255, R=255, G=255, B=255]
428640,Color [A=255, R=0, G=0, B=0]
494160,Color [A=255, R=255, G=255, B=255]
510440,Color [A=255, R=255, G=255, B=255]
510480,Color [A=255, R=0, G=0, B=0]
576000,Color [A=255, R=255, G=255, B=255]
637080,Color [A=255, R=255, G=255, B=255]
637120,Color [A=255, R=0, G=0, B=0]
645040,Color [A=255, R=255, G=255, B=255]
645080,Color [A=255, R=0, G=0, B=0]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
650880,Color [A=255, R=255, G=255, B=255]
650920,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
723000,Color [A=255, R=255, G=255, B=255]
723040,Color [A=255, R=0, G=0, B=0]
754320,Color [A=255, R=255, G=255, B=255]
754360,Color [A=255, R=0, G=0, B=0]
774520,Color [A=255, R=255, G=255, B=255]
774560,Color [A=255, R=0, G=0, B=0]
840080,Color [A=255, R=255, G=255, B=255]
895880,Color [A=255, R=255, G=255, B=255]
895920,Color [A=255, R=0, G=0, B=0]
898520,Color [A=255, R=255, G=255, B=255]
898560,Color [A=255, R=0, G=0, B=0]
964080,Color [A=255, R=255, G=255, B=255]
992880,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
999560,Color [A=255, R=255, G=255, B=255]
999600,Color [A=255, R=0, G=0, B=0]
1013960,Color [A=255, R=255, G=255, B=255]
1014000,Color [A=255, R=0, G=0, B=0]
1028480,Color [A=255, R=255, G=255, B=255]
1028520,Color [A=255, R=0, G=0, B=0]
1036800,Color [A=255, R=255, G=255, B=255]
1036840,Color [A=255, R=0, G=0, B=0]
1038000,Color [A=255, R=255, G=255, B=255]
1038040,Color [A=255, R=0, G=0, B=0]
1070280,Color [A=255, R=255, G=255, B=255]
1070320,Color [A=255, R=0, G=0, B=0]
1072680,Color [A=255, R=255, G=255, B=255]
1072720,Color [A=255, R=0, G=0, B=0]
1086000,Color [A=255, R=255, G=255, B=255]
1086040,Color [A=255, R=0, G=0, B=0]
1151560,Color [A=255, R=255, G=255, B=255]
1162680,Color [A=255, R=255, G=255, B=255]
1162720,Color [A=255, R=0, G=0, B=0]
1172560,Color [A=255, R=255, G=255, B=255]
1172600,Color [A=255, R=0, G=0, B=0]
1238120,Color [A=255, R=255, G=255, B=255]
1261720,Color [A=255, R=255, G=255, B=255]
1261760,Color [A=255, R=0, G=0, B=0]
1271920,Color [A=255, R=255, G=255, B=255]
1271960,Color [A=255, R=0, G=0, B=0]
1278200,Color [A=255, R=255, G=255, B=255]
1278240,Color [A=255, R=0, G=0, B=0]
1289760,Color [A=255, R=255, G=255, B=255]
1289800,Color [A=255, R=0, G=0, B=0]
1293200,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1358760,Color [A=255, R=255, G=255, B=255]
1401920,Color [A=255, R=255, G=255, B=255]
1401960,Color [A=255, R=0, G=0, B=0]
1410040,Color [A=255, R=255, G=255, B=255]
1410080,Color [A=255, R=0, G=0, B=0]
1417880,Color [A=255, R=255, G=255, B=255]
1417920,Color [A=255, R=0, G=0, B=0]
1483440,Color [A=255, R=255, G=255, B=255]
1548960,Color [A=255, R=255, G=255, B=255]
1614440,Color [A=255, R=255, G=255, B=255]
1614480,Color [A=255, R=0, G=0, B=0]
1624520,Color [A=255, R=255, G=255, B=255]
1624560,Color [A=255, R=0, G=0, B=0]
1685920,Color [A=255, R=255, G=255, B=255]
1685960,Color [A=255, R=0, G=0, B=0]
1693000,Color [A=255, R=255, G=255, B=255]
1693040,Color [A=255, R=0, G=0, B=0]
1740160,Color [A=255, R=255, G=255, B=255]
1740200,Color [A=255, R=0, G=0, B=0]
1805720,Color [A=255, R=255, G=255, B=255]
1810720,Color [A=255, R=255, G=255, B=255]
1810760,Color [A=255, R=0, G=0, B=0]
1836200,Color [A=255, R=255, G=255, B=255]
1836240,Color [A=255, R=0, G=0, B=0]
1901760,Color [A=255, R=255, G=255, B=255]
1913240,Color [A=255, R=255, G=255, B=255]
1913280,Color [A=255, R=0, G=0, B=0]
1968480,Color [A=255, R=255, G=255, B=255]
