40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
1560,Color [A=255, R=255, G=255, B=255]
1600,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
10320,Color [A=255, R=255, G=255, B=255]
10360,Color [A=255, R=0, G=0, B=0]
10800,Color [A=255, R=255, G=255, B=255]
10840,Color [A=255, R=0, G=0, B=0]
14320,Color [A=255, R=255, G=255, B=255]
14360,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
30760,Color [A=255, R=255, G=255, B=255]
30800,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
39240,Color [A=255, R=255, G=255, B=255]
39280,Color [A=255, R=0, G=0, B=0]
41480,Color [A=255, R=255, G=255, B=255]
41520,Color [A=255, R=0, G=0, B=0]
44320,Color [A=255, R=255, G=255, B=255]
44360,Color [A=255, R=0, G=0, B=0]
47720,Color [A=255, R=255, G=255, B=255]
47760,Color [A=255, R=0, G=0, B=0]
48000,Color [A=255, R=255, G=255, B=255]
48040,Color [A=255, R=0, G=0, B=0]
49440,Color [A=255, R=255, G=255, B=255]
49480,Color [A=255, R=0, G=0, B=0]
49600,Color [A=255, R=255, G=255, B=255]
49640,Color [A=255, R=0, G=0, B=0]
51400,Color [A=255, R=255, G=255, B=255]
51560,Color [A=255, R=0, G=0, B=0]
57840,Color [A=255, R=255, G=255, B=255]
57920,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
66000,Color [A=255, R=0, G=0, B=0]
66600,Color [A=255, R=255, G=255, B=255]
66640,Color [A=255, R=0, G=0, B=0]
71440,Color [A=255, R=255, G=255, B=255]
71480,Color [A=255, R=0, G=0, B=0]
71880,Color [A=255, R=255, G=255, B=255]
71920,Color [A=255, R=0, G=0, B=0]
73440,Color [A=255, R=255, G=255, B=255]
73480,Color [A=255, R=0, G=0, B=0]
73760,Color [A=255, R=255, G=255, B=255]
73800,Color [A=255, R=0, G=0, B=0]
76120,Color [A=255, R=255, G=255, B=255]
76160,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
77520,Color [A=255, R=255, G=255, B=255]
77560,Color [A=255, R=0, G=0, B=0]
77880,Color [A=255, R=255, G=255, B=255]
77920,Color [A=255, R=0, G=0, B=0]
79960,Color [A=255, R=255, G=255, B=255]
80120,Color [A=255, R=0, G=0, B=0]
81440,Color [A=255, R=255, G=255, B=255]
81480,Color [A=255, R=0, G=0, B=0]
82080,Color [A=255, R=255, G=255, B=255]
82120,Color [A=255, R=0, G=0, B=0]
83640,Color [A=255, R=255, G=255, B=255]
83680,Color [A=255, R=0, G=0, B=0]
84560,Color [A=255, R=255, G=255, B=255]
84600,Color [A=255, R=0, G=0, B=0]
87160,Color [A=255, R=255, G=255, B=255]
87200,Color [A=255, R=0, G=0, B=0]
88600,Color [A=255, R=255, G=255, B=255]
88640,Color [A=255, R=0, G=0, B=0]
90120,Color [A=255, R=255, G=255, B=255]
90160,Color [A=255, R=0, G=0, B=0]
90760,Color [A=255, R=255, G=255, B=255]
90800,Color [A=255, R=0, G=0, B=0]
92080,Color [A=255, R=255, G=255, B=255]
92120,Color [A=255, R=0, G=0, B=0]
93520,Color [A=255, R=255, G=255, B=255]
93560,Color [A=255, R=0, G=0, B=0]
96280,Color [A=255, R=255, G=255, B=255]
96320,Color [A=255, R=0, G=0, B=0]
99000,Color [A=255, R=255, G=255, B=255]
99040,Color [A=255, R=0, G=0, B=0]
100480,Color [A=255, R=255, G=255, B=255]
100520,Color [A=255, R=0, G=0, B=0]
101520,Color [A=255, R=255, G=255, B=255]
101680,Color [A=255, R=0, G=0, B=0]
103040,Color [A=255, R=255, G=255, B=255]
103080,Color [A=255, R=0, G=0, B=0]
103200,Color [A=255, R=255, G=255, B=255]
103240,Color [A=255, R=0, G=0, B=0]
105880,Color [A=255, R=255, G=255, B=255]
105920,Color [A=255, R=0, G=0, B=0]
108320,Color [A=255, R=255, G=255, B=255]
