40,Color [A=255, R=255, G=206, B=31]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
2960,Color [A=255, R=255, G=255, B=255]
3000,Color [A=255, R=0, G=0, B=0]
3200,Color [A=255, R=255, G=255, B=255]
3240,Color [A=255, R=0, G=0, B=0]
3320,Color [A=255, R=255, G=255, B=255]
3360,Color [A=255, R=0, G=0, B=0]
3840,Color [A=255, R=255, G=255, B=255]
3920,Color [A=255, R=0, G=0, B=0]
4160,Color [A=255, R=255, G=255, B=255]
4200,Color [A=255, R=0, G=0, B=0]
5720,Color [A=255, R=255, G=255, B=255]
5760,Color [A=255, R=0, G=0, B=0]
5880,Color [A=255, R=255, G=255, B=255]
5960,Color [A=255, R=0, G=0, B=0]
6240,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
6360,Color [A=255, R=255, G=255, B=255]
6400,Color [A=255, R=0, G=0, B=0]
6440,Color [A=255, R=255, G=255, B=255]
6480,Color [A=255, R=0, G=0, B=0]
6640,Color [A=255, R=255, G=255, B=255]
6680,Color [A=255, R=0, G=0, B=0]
7600,Color [A=255, R=255, G=255, B=255]
7640,Color [A=255, R=0, G=0, B=0]
7960,Color [A=255, R=255, G=255, B=255]
8000,Color [A=255, R=0, G=0, B=0]
8040,Color [A=255, R=255, G=255, B=255]
8080,Color [A=255, R=0, G=0, B=0]
8440,Color [A=255, R=255, G=255, B=255]
8480,Color [A=255, R=0, G=0, B=0]
8600,Color [A=255, R=255, G=255, B=255]
8640,Color [A=255, R=0, G=0, B=0]
9880,Color [A=255, R=255, G=255, B=255]
9920,Color [A=255, R=0, G=0, B=0]
10200,Color [A=255, R=255, G=255, B=255]
10240,Color [A=255, R=0, G=0, B=0]
10520,Color [A=255, R=255, G=255, B=255]
10560,Color [A=255, R=0, G=0, B=0]
10760,Color [A=255, R=255, G=255, B=255]
10800,Color [A=255, R=0, G=0, B=0]
11960,Color [A=255, R=255, G=255, B=255]
12000,Color [A=255, R=0, G=0, B=0]
12640,Color [A=255, R=255, G=255, B=255]
12680,Color [A=255, R=0, G=0, B=0]
13680,Color [A=255, R=255, G=255, B=255]
13720,Color [A=255, R=0, G=0, B=0]
13920,Color [A=255, R=255, G=255, B=255]
13960,Color [A=255, R=0, G=0, B=0]
14400,Color [A=255, R=255, G=255, B=255]
14480,Color [A=255, R=0, G=0, B=0]
14520,Color [A=255, R=255, G=255, B=255]
14560,Color [A=255, R=0, G=0, B=0]
14640,Color [A=255, R=255, G=255, B=255]
14680,Color [A=255, R=0, G=0, B=0]
15080,Color [A=255, R=255, G=255, B=255]
15120,Color [A=255, R=0, G=0, B=0]
15280,Color [A=255, R=255, G=255, B=255]
15320,Color [A=255, R=0, G=0, B=0]
15520,Color [A=255, R=255, G=255, B=255]
15560,Color [A=255, R=0, G=0, B=0]
15960,Color [A=255, R=255, G=255, B=255]
16000,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
