40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
88600,Color [A=255, R=255, G=255, B=255]
88640,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
141040,Color [A=255, R=255, G=255, B=255]
141080,Color [A=255, R=0, G=0, B=0]
141400,Color [A=255, R=255, G=255, B=255]
141440,Color [A=255, R=0, G=0, B=0]
141560,Color [A=255, R=255, G=255, B=255]
141600,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148520,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
179640,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=0, G=0, B=0]
183760,Color [A=255, R=255, G=255, B=255]
183800,Color [A=255, R=0, G=0, B=0]
206800,Color [A=255, R=255, G=255, B=255]
206840,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
255600,Color [A=255, R=255, G=255, B=255]
255640,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
310480,Color [A=255, R=255, G=255, B=255]
310520,Color [A=255, R=0, G=0, B=0]
313320,Color [A=255, R=255, G=255, B=255]
313360,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
366440,Color [A=255, R=255, G=255, B=255]
366480,Color [A=255, R=0, G=0, B=0]
390800,Color [A=255, R=255, G=255, B=255]
390840,Color [A=255, R=0, G=0, B=0]
398280,Color [A=255, R=255, G=255, B=255]
398320,Color [A=255, R=0, G=0, B=0]
401320,Color [A=255, R=255, G=255, B=255]
401360,Color [A=255, R=0, G=0, B=0]
414040,Color [A=255, R=255, G=255, B=255]
414080,Color [A=255, R=0, G=0, B=0]
428600,Color [A=255, R=255, G=255, B=255]
428640,Color [A=255, R=0, G=0, B=0]
440440,Color [A=255, R=255, G=255, B=255]
440480,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
486960,Color [A=255, R=255, G=255, B=255]
487000,Color [A=255, R=0, G=0, B=0]
501960,Color [A=255, R=255, G=255, B=255]
502000,Color [A=255, R=0, G=0, B=0]
510440,Color [A=255, R=255, G=255, B=255]
510480,Color [A=255, R=0, G=0, B=0]
576000,Color [A=255, R=255, G=255, B=255]
577960,Color [A=255, R=255, G=255, B=255]
578000,Color [A=255, R=0, G=0, B=0]
594640,Color [A=255, R=255, G=255, B=255]
594680,Color [A=255, R=0, G=0, B=0]
595880,Color [A=255, R=255, G=255, B=255]
595920,Color [A=255, R=0, G=0, B=0]
618240,Color [A=255, R=255, G=255, B=255]
618280,Color [A=255, R=0, G=0, B=0]
627280,Color [A=255, R=255, G=255, B=255]
627320,Color [A=255, R=0, G=0, B=0]
636120,Color [A=255, R=255, G=255, B=255]
636160,Color [A=255, R=0, G=0, B=0]
637080,Color [A=255, R=255, G=255, B=255]
637120,Color [A=255, R=0, G=0, B=0]
