40,Color [A=255, R=255, G=206, B=31]
1080,Color [A=255, R=255, G=255, B=255]
1160,Color [A=255, R=0, G=0, B=0]
2080,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3480,Color [A=255, R=255, G=255, B=255]
3560,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
5080,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
6120,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
8720,Color [A=255, R=255, G=255, B=255]
8760,Color [A=255, R=0, G=0, B=0]
10640,Color [A=255, R=255, G=255, B=255]
10680,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
12720,Color [A=255, R=255, G=255, B=255]
12760,Color [A=255, R=0, G=0, B=0]
12840,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
14240,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
14760,Color [A=255, R=255, G=255, B=255]
14800,Color [A=255, R=0, G=0, B=0]
15680,Color [A=255, R=255, G=255, B=255]
15720,Color [A=255, R=0, G=0, B=0]
23440,Color [A=255, R=255, G=255, B=255]
23480,Color [A=255, R=0, G=0, B=0]
23800,Color [A=255, R=255, G=255, B=255]
23840,Color [A=255, R=0, G=0, B=0]
23880,Color [A=255, R=255, G=255, B=255]
23920,Color [A=255, R=0, G=0, B=0]
24040,Color [A=255, R=255, G=255, B=255]
24080,Color [A=255, R=0, G=0, B=0]
25800,Color [A=255, R=255, G=255, B=255]
25840,Color [A=255, R=0, G=0, B=0]
25920,Color [A=255, R=255, G=255, B=255]
25960,Color [A=255, R=0, G=0, B=0]
26320,Color [A=255, R=255, G=255, B=255]
26360,Color [A=255, R=0, G=0, B=0]
26400,Color [A=255, R=255, G=255, B=255]
26480,Color [A=255, R=0, G=0, B=0]
28600,Color [A=255, R=255, G=255, B=255]
28640,Color [A=255, R=0, G=0, B=0]
29280,Color [A=255, R=255, G=255, B=255]
29320,Color [A=255, R=0, G=0, B=0]
30160,Color [A=255, R=255, G=255, B=255]
30200,Color [A=255, R=0, G=0, B=0]
33640,Color [A=255, R=255, G=255, B=255]
33680,Color [A=255, R=0, G=0, B=0]
34480,Color [A=255, R=255, G=255, B=255]
34520,Color [A=255, R=0, G=0, B=0]
34920,Color [A=255, R=255, G=255, B=255]
34960,Color [A=255, R=0, G=0, B=0]
35080,Color [A=255, R=255, G=255, B=255]
35120,Color [A=255, R=0, G=0, B=0]
35520,Color [A=255, R=255, G=255, B=255]
35560,Color [A=255, R=0, G=0, B=0]
35880,Color [A=255, R=255, G=255, B=255]
35920,Color [A=255, R=0, G=0, B=0]
36680,Color [A=255, R=255, G=255, B=255]
36720,Color [A=255, R=0, G=0, B=0]
37200,Color [A=255, R=255, G=255, B=255]
37240,Color [A=255, R=0, G=0, B=0]
38080,Color [A=255, R=255, G=255, B=255]
38120,Color [A=255, R=0, G=0, B=0]
38920,Color [A=255, R=255, G=255, B=255]
38960,Color [A=255, R=0, G=0, B=0]
40720,Color [A=255, R=255, G=255, B=255]
40760,Color [A=255, R=0, G=0, B=0]
41960,Color [A=255, R=255, G=255, B=255]
42000,Color [A=255, R=0, G=0, B=0]
42160,Color [A=255, R=255, G=255, B=255]
42200,Color [A=255, R=0, G=0, B=0]
42800,Color [A=255, R=255, G=255, B=255]
42840,Color [A=255, R=0, G=0, B=0]
43840,Color [A=255, R=255, G=255, B=255]
43880,Color [A=255, R=0, G=0, B=0]
44080,Color [A=255, R=255, G=255, B=255]
44120,Color [A=255, R=0, G=0, B=0]
45480,Color [A=255, R=255, G=255, B=255]
45520,Color [A=255, R=0, G=0, B=0]
46840,Color [A=255, R=255, G=255, B=255]
46880,Color [A=255, R=0, G=0, B=0]
47240,Color [A=255, R=255, G=255, B=255]
47280,Color [A=255, R=0, G=0, B=0]
47520,Color [A=255, R=255, G=255, B=255]
47560,Color [A=255, R=0, G=0, B=0]
48160,Color [A=255, R=255, G=255, B=255]
48200,Color [A=255, R=0, G=0, B=0]
48280,Color [A=255, R=255, G=255, B=255]
48320,Color [A=255, R=0, G=0, B=0]
49200,Color [A=255, R=255, G=255, B=255]
49240,Color [A=255, R=0, G=0, B=0]
49520,Color [A=255, R=255, G=255, B=255]
49560,Color [A=255, R=0, G=0, B=0]
49720,Color [A=255, R=255, G=255, B=255]
49760,Color [A=255, R=0, G=0, B=0]
51280,Color [A=255, R=255, G=255, B=255]
51320,Color [A=255, R=0, G=0, B=0]
