40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
134800,Color [A=255, R=255, G=255, B=255]
134840,Color [A=255, R=0, G=0, B=0]
137320,Color [A=255, R=255, G=255, B=255]
137360,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
180000,Color [A=255, R=255, G=255, B=255]
180040,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
225880,Color [A=255, R=255, G=255, B=255]
225920,Color [A=255, R=0, G=0, B=0]
234200,Color [A=255, R=255, G=255, B=255]
234240,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
247880,Color [A=255, R=255, G=255, B=255]
247920,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
285640,Color [A=255, R=255, G=255, B=255]
285680,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
297720,Color [A=255, R=255, G=255, B=255]
297760,Color [A=255, R=0, G=0, B=0]
322760,Color [A=255, R=255, G=255, B=255]
322800,Color [A=255, R=0, G=0, B=0]
336200,Color [A=255, R=255, G=255, B=255]
336240,Color [A=255, R=0, G=0, B=0]
383760,Color [A=255, R=255, G=255, B=255]
383800,Color [A=255, R=0, G=0, B=0]
388520,Color [A=255, R=255, G=255, B=255]
388560,Color [A=255, R=0, G=0, B=0]
399360,Color [A=255, R=255, G=255, B=255]
399400,Color [A=255, R=0, G=0, B=0]
402000,Color [A=255, R=255, G=255, B=255]
402040,Color [A=255, R=0, G=0, B=0]
414000,Color [A=255, R=255, G=255, B=255]
414040,Color [A=255, R=0, G=0, B=0]
414120,Color [A=255, R=255, G=255, B=255]
414160,Color [A=255, R=0, G=0, B=0]
414400,Color [A=255, R=255, G=255, B=255]
414440,Color [A=255, R=0, G=0, B=0]
417720,Color [A=255, R=255, G=255, B=255]
417760,Color [A=255, R=0, G=0, B=0]
440440,Color [A=255, R=255, G=255, B=255]
440480,Color [A=255, R=0, G=0, B=0]
450040,Color [A=255, R=255, G=255, B=255]
450080,Color [A=255, R=0, G=0, B=0]
454600,Color [A=255, R=255, G=255, B=255]
454640,Color [A=255, R=0, G=0, B=0]
485960,Color [A=255, R=255, G=255, B=255]
486000,Color [A=255, R=0, G=0, B=0]
513360,Color [A=255, R=255, G=255, B=255]
513400,Color [A=255, R=0, G=0, B=0]
546120,Color [A=255, R=255, G=255, B=255]
546160,Color [A=255, R=0, G=0, B=0]
563160,Color [A=255, R=255, G=255, B=255]
563200,Color [A=255, R=0, G=0, B=0]
568360,Color [A=255, R=255, G=255, B=255]
568400,Color [A=255, R=0, G=0, B=0]
604360,Color [A=255, R=255, G=255, B=255]
604400,Color [A=255, R=0, G=0, B=0]
618600,Color [A=255, R=255, G=255, B=255]
618640,Color [A=255, R=0, G=0, B=0]
622240,Color [A=255, R=255, G=255, B=255]
622280,Color [A=255, R=0, G=0, B=0]
633920,Color [A=255, R=255, G=255, B=255]
633960,Color [A=255, R=0, G=0, B=0]
636120,Color [A=255, R=255, G=255, B=255]
636160,Color [A=255, R=0, G=0, B=0]
637680,Color [A=255, R=255, G=255, B=255]
637720,Color [A=255, R=0, G=0, B=0]
638920,Color [A=255, R=255, G=255, B=255]
638960,Color [A=255, R=0, G=0, B=0]
643120,Color [A=255, R=255, G=255, B=255]
643160,Color [A=255, R=0, G=0, B=0]
646920,Color [A=255, R=255, G=255, B=255]
646960,Color [A=255, R=0, G=0, B=0]
649920,Color [A=255, R=255, G=255, B=255]
649960,Color [A=255, R=0, G=0, B=0]
650000,Color [A=255, R=255, G=255, B=255]
650040,Color [A=255, R=0, G=0, B=0]
674520,Color [A=255, R=255, G=255, B=255]
674560,Color [A=255, R=0, G=0, B=0]
677120,Color [A=255, R=255, G=255, B=255]
677160,Color [A=255, R=0, G=0, B=0]
683040,Color [A=255, R=255, G=255, B=255]
683080,Color [A=255, R=0, G=0, B=0]
691480,Color [A=255, R=255, G=255, B=255]
691520,Color [A=255, R=0, G=0, B=0]
703720,Color [A=255, R=255, G=255, B=255]
703760,Color [A=255, R=0, G=0, B=0]
703800,Color [A=255, R=255, G=255, B=255]
703840,Color [A=255, R=0, G=0, B=0]
713040,Color [A=255, R=255, G=255, B=255]
713080,Color [A=255, R=0, G=0, B=0]
727720,Color [A=255, R=255, G=255, B=255]
727760,Color [A=255, R=0, G=0, B=0]
728560,Color [A=255, R=255, G=255, B=255]
728600,Color [A=255, R=0, G=0, B=0]
732280,Color [A=255, R=255, G=255, B=255]
732320,Color [A=255, R=0, G=0, B=0]
772320,Color [A=255, R=255, G=255, B=255]
772360,Color [A=255, R=0, G=0, B=0]
787040,Color [A=255, R=255, G=255, B=255]
787080,Color [A=255, R=0, G=0, B=0]
787440,Color [A=255, R=255, G=255, B=255]
787480,Color [A=255, R=0, G=0, B=0]
792720,Color [A=255, R=255, G=255, B=255]
792760,Color [A=255, R=0, G=0, B=0]
802560,Color [A=255, R=255, G=255, B=255]
802600,Color [A=255, R=0, G=0, B=0]
806320,Color [A=255, R=255, G=255, B=255]
806360,Color [A=255, R=0, G=0, B=0]
806440,Color [A=255, R=255, G=255, B=255]
806480,Color [A=255, R=0, G=0, B=0]
827200,Color [A=255, R=255, G=255, B=255]
827240,Color [A=255, R=0, G=0, B=0]
848240,Color [A=255, R=255, G=255, B=255]
848360,Color [A=255, R=0, G=0, B=0]
852520,Color [A=255, R=255, G=255, B=255]
852560,Color [A=255, R=0, G=0, B=0]
857920,Color [A=255, R=255, G=255, B=255]
857960,Color [A=255, R=0, G=0, B=0]
865280,Color [A=255, R=255, G=255, B=255]
865320,Color [A=255, R=0, G=0, B=0]
870120,Color [A=255, R=255, G=255, B=255]
870160,Color [A=255, R=0, G=0, B=0]
874680,Color [A=255, R=255, G=255, B=255]
874720,Color [A=255, R=0, G=0, B=0]
880200,Color [A=255, R=255, G=255, B=255]
880280,Color [A=255, R=0, G=0, B=0]
881280,Color [A=255, R=255, G=255, B=255]
881360,Color [A=255, R=0, G=0, B=0]
881400,Color [A=255, R=255, G=255, B=255]
881440,Color [A=255, R=0, G=0, B=0]
881520,Color [A=255, R=255, G=255, B=255]
881600,Color [A=255, R=0, G=0, B=0]
881840,Color [A=255, R=255, G=255, B=255]
881920,Color [A=255, R=0, G=0, B=0]
882120,Color [A=255, R=255, G=255, B=255]
882280,Color [A=255, R=0, G=0, B=0]
882320,Color [A=255, R=255, G=255, B=255]
882360,Color [A=255, R=0, G=0, B=0]
882400,Color [A=255, R=255, G=255, B=255]
882440,Color [A=255, R=0, G=0, B=0]
882680,Color [A=255, R=255, G=255, B=255]
882720,Color [A=255, R=0, G=0, B=0]
882960,Color [A=255, R=255, G=255, B=255]
883000,Color [A=255, R=0, G=0, B=0]
883120,Color [A=255, R=255, G=255, B=255]
883160,Color [A=255, R=0, G=0, B=0]
884920,Color [A=255, R=255, G=255, B=255]
884960,Color [A=255, R=0, G=0, B=0]
911680,Color [A=255, R=255, G=255, B=255]
911720,Color [A=255, R=0, G=0, B=0]
917160,Color [A=255, R=255, G=255, B=255]
917200,Color [A=255, R=0, G=0, B=0]
919360,Color [A=255, R=255, G=255, B=255]
919400,Color [A=255, R=0, G=0, B=0]
928640,Color [A=255, R=255, G=255, B=255]
928680,Color [A=255, R=0, G=0, B=0]
930040,Color [A=255, R=255, G=255, B=255]
930080,Color [A=255, R=0, G=0, B=0]
949000,Color [A=255, R=255, G=255, B=255]
949040,Color [A=255, R=0, G=0, B=0]
952760,Color [A=255, R=255, G=255, B=255]
952800,Color [A=255, R=0, G=0, B=0]
955600,Color [A=255, R=255, G=255, B=255]
955640,Color [A=255, R=0, G=0, B=0]
960440,Color [A=255, R=255, G=255, B=255]
960480,Color [A=255, R=0, G=0, B=0]
968680,Color [A=255, R=255, G=255, B=255]
968720,Color [A=255, R=0, G=0, B=0]
992960,Color [A=255, R=255, G=255, B=255]
993000,Color [A=255, R=0, G=0, B=0]
1009400,Color [A=255, R=255, G=255, B=255]
1009440,Color [A=255, R=0, G=0, B=0]
1022960,Color [A=255, R=255, G=255, B=255]
1023000,Color [A=255, R=0, G=0, B=0]
1028080,Color [A=255, R=255, G=255, B=255]
1028120,Color [A=255, R=0, G=0, B=0]
1029080,Color [A=255, R=255, G=255, B=255]
1029120,Color [A=255, R=0, G=0, B=0]
1030040,Color [A=255, R=255, G=255, B=255]
1030080,Color [A=255, R=0, G=0, B=0]
1054160,Color [A=255, R=255, G=255, B=255]
1054200,Color [A=255, R=0, G=0, B=0]
1060320,Color [A=255, R=255, G=255, B=255]
1060360,Color [A=255, R=0, G=0, B=0]
1061920,Color [A=255, R=255, G=255, B=255]
1061960,Color [A=255, R=0, G=0, B=0]
1080400,Color [A=255, R=255, G=255, B=255]
1080440,Color [A=255, R=0, G=0, B=0]
1082720,Color [A=255, R=255, G=255, B=255]
1082760,Color [A=255, R=0, G=0, B=0]
1089320,Color [A=255, R=255, G=255, B=255]
