40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
88600,Color [A=255, R=255, G=255, B=255]
88640,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
141400,Color [A=255, R=255, G=255, B=255]
141440,Color [A=255, R=0, G=0, B=0]
141560,Color [A=255, R=255, G=255, B=255]
141600,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148520,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
179640,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195320,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
206800,Color [A=255, R=255, G=255, B=255]
206840,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
310480,Color [A=255, R=255, G=255, B=255]
310520,Color [A=255, R=0, G=0, B=0]
326440,Color [A=255, R=255, G=255, B=255]
326480,Color [A=255, R=0, G=0, B=0]
392000,Color [A=255, R=255, G=255, B=255]
414040,Color [A=255, R=255, G=255, B=255]
414080,Color [A=255, R=0, G=0, B=0]
440440,Color [A=255, R=255, G=255, B=255]
440480,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
501960,Color [A=255, R=255, G=255, B=255]
502000,Color [A=255, R=0, G=0, B=0]
504480,Color [A=255, R=255, G=255, B=255]
504520,Color [A=255, R=0, G=0, B=0]
504640,Color [A=255, R=255, G=255, B=255]
504680,Color [A=255, R=0, G=0, B=0]
570200,Color [A=255, R=255, G=255, B=255]
598240,Color [A=255, R=255, G=255, B=255]
598280,Color [A=255, R=0, G=0, B=0]
