40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
16040,Color [A=255, R=255, G=255, B=255]
16080,Color [A=255, R=0, G=0, B=0]
22800,Color [A=255, R=255, G=255, B=255]
22840,Color [A=255, R=0, G=0, B=0]
23680,Color [A=255, R=255, G=255, B=255]
23720,Color [A=255, R=0, G=0, B=0]
26880,Color [A=255, R=255, G=255, B=255]
26920,Color [A=255, R=0, G=0, B=0]
27920,Color [A=255, R=255, G=255, B=255]
27960,Color [A=255, R=0, G=0, B=0]
28080,Color [A=255, R=255, G=255, B=255]
28120,Color [A=255, R=0, G=0, B=0]
30720,Color [A=255, R=255, G=255, B=255]
30760,Color [A=255, R=0, G=0, B=0]
32240,Color [A=255, R=255, G=255, B=255]
32280,Color [A=255, R=0, G=0, B=0]
32440,Color [A=255, R=255, G=255, B=255]
32480,Color [A=255, R=0, G=0, B=0]
33240,Color [A=255, R=255, G=255, B=255]
33280,Color [A=255, R=0, G=0, B=0]
36200,Color [A=255, R=255, G=255, B=255]
36240,Color [A=255, R=0, G=0, B=0]
36600,Color [A=255, R=255, G=255, B=255]
36640,Color [A=255, R=0, G=0, B=0]
36800,Color [A=255, R=255, G=255, B=255]
36840,Color [A=255, R=0, G=0, B=0]
40400,Color [A=255, R=255, G=255, B=255]
40440,Color [A=255, R=0, G=0, B=0]
45920,Color [A=255, R=255, G=255, B=255]
45960,Color [A=255, R=0, G=0, B=0]
47680,Color [A=255, R=255, G=255, B=255]
47720,Color [A=255, R=0, G=0, B=0]
47960,Color [A=255, R=255, G=255, B=255]
48000,Color [A=255, R=0, G=0, B=0]
56480,Color [A=255, R=255, G=255, B=255]
56520,Color [A=255, R=0, G=0, B=0]
60160,Color [A=255, R=255, G=255, B=255]
60240,Color [A=255, R=0, G=0, B=0]
65760,Color [A=255, R=255, G=255, B=255]
65800,Color [A=255, R=0, G=0, B=0]
69400,Color [A=255, R=255, G=255, B=255]
69440,Color [A=255, R=0, G=0, B=0]
69920,Color [A=255, R=255, G=255, B=255]
69960,Color [A=255, R=0, G=0, B=0]
70760,Color [A=255, R=255, G=255, B=255]
70800,Color [A=255, R=0, G=0, B=0]
71400,Color [A=255, R=255, G=255, B=255]
71440,Color [A=255, R=0, G=0, B=0]
71680,Color [A=255, R=255, G=255, B=255]
71720,Color [A=255, R=0, G=0, B=0]
72760,Color [A=255, R=255, G=255, B=255]
72800,Color [A=255, R=0, G=0, B=0]
76200,Color [A=255, R=255, G=255, B=255]
76240,Color [A=255, R=0, G=0, B=0]
77240,Color [A=255, R=255, G=255, B=255]
77280,Color [A=255, R=0, G=0, B=0]
78400,Color [A=255, R=255, G=255, B=255]
78440,Color [A=255, R=0, G=0, B=0]
78720,Color [A=255, R=255, G=255, B=255]
78760,Color [A=255, R=0, G=0, B=0]
79680,Color [A=255, R=255, G=255, B=255]
79720,Color [A=255, R=0, G=0, B=0]
80800,Color [A=255, R=255, G=255, B=255]
80840,Color [A=255, R=0, G=0, B=0]
81680,Color [A=255, R=255, G=255, B=255]
81720,Color [A=255, R=0, G=0, B=0]
83160,Color [A=255, R=255, G=255, B=255]
83240,Color [A=255, R=0, G=0, B=0]
90880,Color [A=255, R=255, G=255, B=255]
90920,Color [A=255, R=0, G=0, B=0]
91360,Color [A=255, R=255, G=255, B=255]
91400,Color [A=255, R=0, G=0, B=0]
93640,Color [A=255, R=255, G=255, B=255]
93680,Color [A=255, R=0, G=0, B=0]
95840,Color [A=255, R=255, G=255, B=255]
95880,Color [A=255, R=0, G=0, B=0]
95960,Color [A=255, R=255, G=255, B=255]
96000,Color [A=255, R=0, G=0, B=0]
97880,Color [A=255, R=255, G=255, B=255]
97920,Color [A=255, R=0, G=0, B=0]
99240,Color [A=255, R=255, G=255, B=255]
99280,Color [A=255, R=0, G=0, B=0]
101360,Color [A=255, R=255, G=255, B=255]
101400,Color [A=255, R=0, G=0, B=0]
102760,Color [A=255, R=255, G=255, B=255]
102800,Color [A=255, R=0, G=0, B=0]
104280,Color [A=255, R=255, G=255, B=255]
104320,Color [A=255, R=0, G=0, B=0]
107640,Color [A=255, R=255, G=255, B=255]
107680,Color [A=255, R=0, G=0, B=0]
108800,Color [A=255, R=255, G=255, B=255]
108840,Color [A=255, R=0, G=0, B=0]
110560,Color [A=255, R=255, G=255, B=255]
110600,Color [A=255, R=0, G=0, B=0]
110920,Color [A=255, R=255, G=255, B=255]
110960,Color [A=255, R=0, G=0, B=0]
113720,Color [A=255, R=255, G=255, B=255]
113760,Color [A=255, R=0, G=0, B=0]
120320,Color [A=255, R=255, G=255, B=255]
120360,Color [A=255, R=0, G=0, B=0]
120920,Color [A=255, R=255, G=255, B=255]
120960,Color [A=255, R=0, G=0, B=0]
127320,Color [A=255, R=255, G=255, B=255]
127360,Color [A=255, R=0, G=0, B=0]
129080,Color [A=255, R=255, G=255, B=255]
129120,Color [A=255, R=0, G=0, B=0]
131280,Color [A=255, R=255, G=255, B=255]
131320,Color [A=255, R=0, G=0, B=0]
133800,Color [A=255, R=255, G=255, B=255]
133840,Color [A=255, R=0, G=0, B=0]
134240,Color [A=255, R=255, G=255, B=255]
134280,Color [A=255, R=0, G=0, B=0]
138240,Color [A=255, R=255, G=255, B=255]
138280,Color [A=255, R=0, G=0, B=0]
139640,Color [A=255, R=255, G=255, B=255]
139680,Color [A=255, R=0, G=0, B=0]
142720,Color [A=255, R=255, G=255, B=255]
142760,Color [A=255, R=0, G=0, B=0]
146520,Color [A=255, R=255, G=255, B=255]
146560,Color [A=255, R=0, G=0, B=0]
147960,Color [A=255, R=255, G=255, B=255]
148000,Color [A=255, R=0, G=0, B=0]
148720,Color [A=255, R=255, G=255, B=255]
148760,Color [A=255, R=0, G=0, B=0]
149520,Color [A=255, R=255, G=255, B=255]
149560,Color [A=255, R=0, G=0, B=0]
152080,Color [A=255, R=255, G=255, B=255]
152120,Color [A=255, R=0, G=0, B=0]
156360,Color [A=255, R=255, G=255, B=255]
156400,Color [A=255, R=0, G=0, B=0]
156960,Color [A=255, R=255, G=255, B=255]
157000,Color [A=255, R=0, G=0, B=0]
157720,Color [A=255, R=255, G=255, B=255]
157760,Color [A=255, R=0, G=0, B=0]
158800,Color [A=255, R=255, G=255, B=255]
158840,Color [A=255, R=0, G=0, B=0]
159120,Color [A=255, R=255, G=255, B=255]
159160,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
161040,Color [A=255, R=255, G=255, B=255]
161080,Color [A=255, R=0, G=0, B=0]
161360,Color [A=255, R=255, G=255, B=255]
161400,Color [A=255, R=0, G=0, B=0]
162520,Color [A=255, R=255, G=255, B=255]
162560,Color [A=255, R=0, G=0, B=0]
164720,Color [A=255, R=255, G=255, B=255]
164760,Color [A=255, R=0, G=0, B=0]
165760,Color [A=255, R=255, G=255, B=255]
165840,Color [A=255, R=0, G=0, B=0]
168960,Color [A=255, R=255, G=255, B=255]
169000,Color [A=255, R=0, G=0, B=0]
169560,Color [A=255, R=255, G=255, B=255]
169600,Color [A=255, R=0, G=0, B=0]
173160,Color [A=255, R=255, G=255, B=255]
173200,Color [A=255, R=0, G=0, B=0]
174440,Color [A=255, R=255, G=255, B=255]
174480,Color [A=255, R=0, G=0, B=0]
175800,Color [A=255, R=255, G=255, B=255]
175840,Color [A=255, R=0, G=0, B=0]
175960,Color [A=255, R=255, G=255, B=255]
176000,Color [A=255, R=0, G=0, B=0]
177040,Color [A=255, R=255, G=255, B=255]
177080,Color [A=255, R=0, G=0, B=0]
177760,Color [A=255, R=255, G=255, B=255]
177800,Color [A=255, R=0, G=0, B=0]
178680,Color [A=255, R=255, G=255, B=255]
178720,Color [A=255, R=0, G=0, B=0]
179040,Color [A=255, R=255, G=255, B=255]
179080,Color [A=255, R=0, G=0, B=0]
180280,Color [A=255, R=255, G=255, B=255]
180320,Color [A=255, R=0, G=0, B=0]
180360,Color [A=255, R=255, G=255, B=255]
180400,Color [A=255, R=0, G=0, B=0]
182360,Color [A=255, R=255, G=255, B=255]
182400,Color [A=255, R=0, G=0, B=0]
182520,Color [A=255, R=255, G=255, B=255]
182560,Color [A=255, R=0, G=0, B=0]
183680,Color [A=255, R=255, G=255, B=255]
183720,Color [A=255, R=0, G=0, B=0]
184040,Color [A=255, R=255, G=255, B=255]
184080,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
184560,Color [A=255, R=255, G=255, B=255]
184600,Color [A=255, R=0, G=0, B=0]
185200,Color [A=255, R=255, G=255, B=255]
185240,Color [A=255, R=0, G=0, B=0]
186680,Color [A=255, R=255, G=255, B=255]
186720,Color [A=255, R=0, G=0, B=0]
188720,Color [A=255, R=255, G=255, B=255]
188760,Color [A=255, R=0, G=0, B=0]
188800,Color [A=255, R=255, G=255, B=255]
188840,Color [A=255, R=0, G=0, B=0]
191400,Color [A=255, R=255, G=255, B=255]
191480,Color [A=255, R=0, G=0, B=0]
191880,Color [A=255, R=255, G=255, B=255]
191920,Color [A=255, R=0, G=0, B=0]
192240,Color [A=255, R=255, G=255, B=255]
192280,Color [A=255, R=0, G=0, B=0]
192480,Color [A=255, R=255, G=255, B=255]
192520,Color [A=255, R=0, G=0, B=0]
192560,Color [A=255, R=255, G=255, B=255]
192600,Color [A=255, R=0, G=0, B=0]
192840,Color [A=255, R=255, G=255, B=255]
192880,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195320,Color [A=255, R=0, G=0, B=0]
197120,Color [A=255, R=255, G=255, B=255]
197160,Color [A=255, R=0, G=0, B=0]
200920,Color [A=255, R=255, G=255, B=255]
200960,Color [A=255, R=0, G=0, B=0]
202800,Color [A=255, R=255, G=255, B=255]
202840,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
205760,Color [A=255, R=255, G=255, B=255]
205800,Color [A=255, R=0, G=0, B=0]
207240,Color [A=255, R=255, G=255, B=255]
207280,Color [A=255, R=0, G=0, B=0]
208720,Color [A=255, R=255, G=255, B=255]
208760,Color [A=255, R=0, G=0, B=0]
209000,Color [A=255, R=255, G=255, B=255]
209040,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
211560,Color [A=255, R=255, G=255, B=255]
211600,Color [A=255, R=0, G=0, B=0]
211840,Color [A=255, R=255, G=255, B=255]
211880,Color [A=255, R=0, G=0, B=0]
213640,Color [A=255, R=255, G=255, B=255]
213680,Color [A=255, R=0, G=0, B=0]
217960,Color [A=255, R=255, G=255, B=255]
218000,Color [A=255, R=0, G=0, B=0]
222360,Color [A=255, R=255, G=255, B=255]
222440,Color [A=255, R=0, G=0, B=0]
223880,Color [A=255, R=255, G=255, B=255]
223920,Color [A=255, R=0, G=0, B=0]
225400,Color [A=255, R=255, G=255, B=255]
225480,Color [A=255, R=0, G=0, B=0]
231280,Color [A=255, R=255, G=255, B=255]
231320,Color [A=255, R=0, G=0, B=0]
233640,Color [A=255, R=255, G=255, B=255]
233680,Color [A=255, R=0, G=0, B=0]
234600,Color [A=255, R=255, G=255, B=255]
234640,Color [A=255, R=0, G=0, B=0]
234680,Color [A=255, R=255, G=255, B=255]
234720,Color [A=255, R=0, G=0, B=0]
235080,Color [A=255, R=255, G=255, B=255]
235120,Color [A=255, R=0, G=0, B=0]
242760,Color [A=255, R=255, G=255, B=255]
242800,Color [A=255, R=0, G=0, B=0]
243400,Color [A=255, R=255, G=255, B=255]
243440,Color [A=255, R=0, G=0, B=0]
243480,Color [A=255, R=255, G=255, B=255]
243520,Color [A=255, R=0, G=0, B=0]
245800,Color [A=255, R=255, G=255, B=255]
245840,Color [A=255, R=0, G=0, B=0]
246840,Color [A=255, R=255, G=255, B=255]
246880,Color [A=255, R=0, G=0, B=0]
248400,Color [A=255, R=255, G=255, B=255]
248440,Color [A=255, R=0, G=0, B=0]
250280,Color [A=255, R=255, G=255, B=255]
250320,Color [A=255, R=0, G=0, B=0]
251200,Color [A=255, R=255, G=255, B=255]
251240,Color [A=255, R=0, G=0, B=0]
251960,Color [A=255, R=255, G=255, B=255]
252040,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
254680,Color [A=255, R=255, G=255, B=255]
254720,Color [A=255, R=0, G=0, B=0]
255320,Color [A=255, R=255, G=255, B=255]
255360,Color [A=255, R=0, G=0, B=0]
258360,Color [A=255, R=255, G=255, B=255]
258400,Color [A=255, R=0, G=0, B=0]
261440,Color [A=255, R=255, G=255, B=255]
261480,Color [A=255, R=0, G=0, B=0]
262920,Color [A=255, R=255, G=255, B=255]
262960,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
265600,Color [A=255, R=255, G=255, B=255]
265640,Color [A=255, R=0, G=0, B=0]
270680,Color [A=255, R=255, G=255, B=255]
270720,Color [A=255, R=0, G=0, B=0]
272440,Color [A=255, R=255, G=255, B=255]
