40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
50480,Color [A=255, R=255, G=255, B=255]
50520,Color [A=255, R=0, G=0, B=0]
67280,Color [A=255, R=255, G=255, B=255]
67320,Color [A=255, R=0, G=0, B=0]
67800,Color [A=255, R=255, G=255, B=255]
67840,Color [A=255, R=0, G=0, B=0]
68520,Color [A=255, R=255, G=255, B=255]
68560,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
125760,Color [A=255, R=255, G=255, B=255]
125800,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
141320,Color [A=255, R=255, G=255, B=255]
141360,Color [A=255, R=0, G=0, B=0]
179840,Color [A=255, R=255, G=255, B=255]
179880,Color [A=255, R=0, G=0, B=0]
180160,Color [A=255, R=255, G=255, B=255]
180200,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
206760,Color [A=255, R=255, G=255, B=255]
206800,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
209920,Color [A=255, R=255, G=255, B=255]
209960,Color [A=255, R=0, G=0, B=0]
215600,Color [A=255, R=255, G=255, B=255]
215640,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
219840,Color [A=255, R=255, G=255, B=255]
219880,Color [A=255, R=0, G=0, B=0]
224800,Color [A=255, R=255, G=255, B=255]
224840,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
229040,Color [A=255, R=255, G=255, B=255]
229080,Color [A=255, R=0, G=0, B=0]
231760,Color [A=255, R=255, G=255, B=255]
231800,Color [A=255, R=0, G=0, B=0]
237880,Color [A=255, R=255, G=255, B=255]
237920,Color [A=255, R=0, G=0, B=0]
239480,Color [A=255, R=255, G=255, B=255]
239520,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
251600,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
317200,Color [A=255, R=255, G=255, B=255]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
371560,Color [A=255, R=255, G=255, B=255]
371600,Color [A=255, R=0, G=0, B=0]
398200,Color [A=255, R=255, G=255, B=255]
398240,Color [A=255, R=0, G=0, B=0]
399280,Color [A=255, R=255, G=255, B=255]
399320,Color [A=255, R=0, G=0, B=0]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
401240,Color [A=255, R=255, G=255, B=255]
401280,Color [A=255, R=0, G=0, B=0]
403480,Color [A=255, R=255, G=255, B=255]
403520,Color [A=255, R=0, G=0, B=0]
403600,Color [A=255, R=255, G=255, B=255]
403640,Color [A=255, R=0, G=0, B=0]
403680,Color [A=255, R=255, G=255, B=255]
403720,Color [A=255, R=0, G=0, B=0]
403960,Color [A=255, R=255, G=255, B=255]
404000,Color [A=255, R=0, G=0, B=0]
404080,Color [A=255, R=255, G=255, B=255]
404120,Color [A=255, R=0, G=0, B=0]
404320,Color [A=255, R=255, G=255, B=255]
404360,Color [A=255, R=0, G=0, B=0]
404480,Color [A=255, R=255, G=255, B=255]
404560,Color [A=255, R=0, G=0, B=0]
404720,Color [A=255, R=255, G=255, B=255]
404760,Color [A=255, R=0, G=0, B=0]
404840,Color [A=255, R=255, G=255, B=255]
404880,Color [A=255, R=0, G=0, B=0]
405000,Color [A=255, R=255, G=255, B=255]
405040,Color [A=255, R=0, G=0, B=0]
405120,Color [A=255, R=255, G=255, B=255]
405160,Color [A=255, R=0, G=0, B=0]
405240,Color [A=255, R=255, G=255, B=255]
405280,Color [A=255, R=0, G=0, B=0]
405560,Color [A=255, R=255, G=255, B=255]
405600,Color [A=255, R=0, G=0, B=0]
405680,Color [A=255, R=255, G=255, B=255]
405720,Color [A=255, R=0, G=0, B=0]
406080,Color [A=255, R=255, G=255, B=255]
406120,Color [A=255, R=0, G=0, B=0]
406200,Color [A=255, R=255, G=255, B=255]
406280,Color [A=255, R=0, G=0, B=0]
406360,Color [A=255, R=255, G=255, B=255]
406400,Color [A=255, R=0, G=0, B=0]
406480,Color [A=255, R=255, G=255, B=255]
406520,Color [A=255, R=0, G=0, B=0]
406880,Color [A=255, R=255, G=255, B=255]
406920,Color [A=255, R=0, G=0, B=0]
407400,Color [A=255, R=255, G=255, B=255]
407440,Color [A=255, R=0, G=0, B=0]
407600,Color [A=255, R=255, G=255, B=255]
407680,Color [A=255, R=0, G=0, B=0]
407840,Color [A=255, R=255, G=255, B=255]
407880,Color [A=255, R=0, G=0, B=0]
407920,Color [A=255, R=255, G=255, B=255]
408000,Color [A=255, R=0, G=0, B=0]
408320,Color [A=255, R=255, G=255, B=255]
408360,Color [A=255, R=0, G=0, B=0]
408440,Color [A=255, R=255, G=255, B=255]
408480,Color [A=255, R=0, G=0, B=0]
408520,Color [A=255, R=255, G=255, B=255]
408560,Color [A=255, R=0, G=0, B=0]
408640,Color [A=255, R=255, G=255, B=255]
408680,Color [A=255, R=0, G=0, B=0]
409200,Color [A=255, R=255, G=255, B=255]
409240,Color [A=255, R=0, G=0, B=0]
409560,Color [A=255, R=255, G=255, B=255]
409600,Color [A=255, R=0, G=0, B=0]
410240,Color [A=255, R=255, G=255, B=255]
410280,Color [A=255, R=0, G=0, B=0]
410800,Color [A=255, R=255, G=255, B=255]
410840,Color [A=255, R=0, G=0, B=0]
411040,Color [A=255, R=255, G=255, B=255]
411080,Color [A=255, R=0, G=0, B=0]
411120,Color [A=255, R=255, G=255, B=255]
411240,Color [A=255, R=0, G=0, B=0]
411320,Color [A=255, R=255, G=255, B=255]
411400,Color [A=255, R=0, G=0, B=0]
411560,Color [A=255, R=255, G=255, B=255]
411600,Color [A=255, R=0, G=0, B=0]
411640,Color [A=255, R=255, G=255, B=255]
411680,Color [A=255, R=0, G=0, B=0]
411720,Color [A=255, R=255, G=255, B=255]
411760,Color [A=255, R=0, G=0, B=0]
411880,Color [A=255, R=255, G=255, B=255]
411920,Color [A=255, R=0, G=0, B=0]
412120,Color [A=255, R=255, G=255, B=255]
412160,Color [A=255, R=0, G=0, B=0]
412200,Color [A=255, R=255, G=255, B=255]
412240,Color [A=255, R=0, G=0, B=0]
412800,Color [A=255, R=255, G=255, B=255]
412840,Color [A=255, R=0, G=0, B=0]
413000,Color [A=255, R=255, G=255, B=255]
413040,Color [A=255, R=0, G=0, B=0]
413080,Color [A=255, R=255, G=255, B=255]
413120,Color [A=255, R=0, G=0, B=0]
413320,Color [A=255, R=255, G=255, B=255]
413360,Color [A=255, R=0, G=0, B=0]
413440,Color [A=255, R=255, G=255, B=255]
413480,Color [A=255, R=0, G=0, B=0]
413520,Color [A=255, R=255, G=255, B=255]
413560,Color [A=255, R=0, G=0, B=0]
413680,Color [A=255, R=255, G=255, B=255]
413720,Color [A=255, R=0, G=0, B=0]
414240,Color [A=255, R=255, G=255, B=255]
414320,Color [A=255, R=0, G=0, B=0]
431400,Color [A=255, R=255, G=255, B=255]
431440,Color [A=255, R=0, G=0, B=0]
431800,Color [A=255, R=255, G=255, B=255]
431840,Color [A=255, R=0, G=0, B=0]
440360,Color [A=255, R=255, G=255, B=255]
440400,Color [A=255, R=0, G=0, B=0]
444200,Color [A=255, R=255, G=255, B=255]
444240,Color [A=255, R=0, G=0, B=0]
490000,Color [A=255, R=255, G=255, B=255]
490040,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
521840,Color [A=255, R=255, G=255, B=255]
521880,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
578240,Color [A=255, R=255, G=255, B=255]
578560,Color [A=255, R=0, G=0, B=0]
578680,Color [A=255, R=255, G=255, B=255]
578760,Color [A=255, R=0, G=0, B=0]
578800,Color [A=255, R=255, G=255, B=255]
578840,Color [A=255, R=0, G=0, B=0]
578880,Color [A=255, R=255, G=255, B=255]
578920,Color [A=255, R=0, G=0, B=0]
579080,Color [A=255, R=255, G=255, B=255]
579120,Color [A=255, R=0, G=0, B=0]
579200,Color [A=255, R=255, G=255, B=255]
579240,Color [A=255, R=0, G=0, B=0]
579440,Color [A=255, R=255, G=255, B=255]
579480,Color [A=255, R=0, G=0, B=0]
579520,Color [A=255, R=255, G=255, B=255]
579600,Color [A=255, R=0, G=0, B=0]
579720,Color [A=255, R=255, G=255, B=255]
579760,Color [A=255, R=0, G=0, B=0]
579840,Color [A=255, R=255, G=255, B=255]
579880,Color [A=255, R=0, G=0, B=0]
579920,Color [A=255, R=255, G=255, B=255]
579960,Color [A=255, R=0, G=0, B=0]
580080,Color [A=255, R=255, G=255, B=255]
580120,Color [A=255, R=0, G=0, B=0]
580160,Color [A=255, R=255, G=255, B=255]
580200,Color [A=255, R=0, G=0, B=0]
580240,Color [A=255, R=255, G=255, B=255]
580360,Color [A=255, R=0, G=0, B=0]
580480,Color [A=255, R=255, G=255, B=255]
580520,Color [A=255, R=0, G=0, B=0]
580880,Color [A=255, R=255, G=255, B=255]
580920,Color [A=255, R=0, G=0, B=0]
581240,Color [A=255, R=255, G=255, B=255]
581280,Color [A=255, R=0, G=0, B=0]
581480,Color [A=255, R=255, G=255, B=255]
581520,Color [A=255, R=0, G=0, B=0]
581720,Color [A=255, R=255, G=255, B=255]
581760,Color [A=255, R=0, G=0, B=0]
581880,Color [A=255, R=255, G=255, B=255]
581920,Color [A=255, R=0, G=0, B=0]
582280,Color [A=255, R=255, G=255, B=255]
582320,Color [A=255, R=0, G=0, B=0]
582560,Color [A=255, R=255, G=255, B=255]
582600,Color [A=255, R=0, G=0, B=0]
582760,Color [A=255, R=255, G=255, B=255]
582800,Color [A=255, R=0, G=0, B=0]
583000,Color [A=255, R=255, G=255, B=255]
583040,Color [A=255, R=0, G=0, B=0]
583120,Color [A=255, R=255, G=255, B=255]
583160,Color [A=255, R=0, G=0, B=0]
583600,Color [A=255, R=255, G=255, B=255]
583680,Color [A=255, R=0, G=0, B=0]
583840,Color [A=255, R=255, G=255, B=255]
583920,Color [A=255, R=0, G=0, B=0]
584120,Color [A=255, R=255, G=255, B=255]
584160,Color [A=255, R=0, G=0, B=0]
584520,Color [A=255, R=255, G=255, B=255]
584560,Color [A=255, R=0, G=0, B=0]
584640,Color [A=255, R=255, G=255, B=255]
584680,Color [A=255, R=0, G=0, B=0]
584920,Color [A=255, R=255, G=255, B=255]
584960,Color [A=255, R=0, G=0, B=0]
585360,Color [A=255, R=255, G=255, B=255]
585400,Color [A=255, R=0, G=0, B=0]
585600,Color [A=255, R=255, G=255, B=255]
585640,Color [A=255, R=0, G=0, B=0]
585680,Color [A=255, R=255, G=255, B=255]
585720,Color [A=255, R=0, G=0, B=0]
585800,Color [A=255, R=255, G=255, B=255]
585840,Color [A=255, R=0, G=0, B=0]
585920,Color [A=255, R=255, G=255, B=255]
585960,Color [A=255, R=0, G=0, B=0]
586040,Color [A=255, R=255, G=255, B=255]
586080,Color [A=255, R=0, G=0, B=0]
586160,Color [A=255, R=255, G=255, B=255]
586240,Color [A=255, R=0, G=0, B=0]
586400,Color [A=255, R=255, G=255, B=255]
586440,Color [A=255, R=0, G=0, B=0]
586840,Color [A=255, R=255, G=255, B=255]
586920,Color [A=255, R=0, G=0, B=0]
587280,Color [A=255, R=255, G=255, B=255]
587320,Color [A=255, R=0, G=0, B=0]
587480,Color [A=255, R=255, G=255, B=255]
587520,Color [A=255, R=0, G=0, B=0]
587880,Color [A=255, R=255, G=255, B=255]
587960,Color [A=255, R=0, G=0, B=0]
588120,Color [A=255, R=255, G=255, B=255]
588240,Color [A=255, R=0, G=0, B=0]
588360,Color [A=255, R=255, G=255, B=255]
588400,Color [A=255, R=0, G=0, B=0]
588520,Color [A=255, R=255, G=255, B=255]
588560,Color [A=255, R=0, G=0, B=0]
589000,Color [A=255, R=255, G=255, B=255]
589040,Color [A=255, R=0, G=0, B=0]
589120,Color [A=255, R=255, G=255, B=255]
589160,Color [A=255, R=0, G=0, B=0]
589200,Color [A=255, R=255, G=255, B=255]
589240,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
622160,Color [A=255, R=255, G=255, B=255]
622200,Color [A=255, R=0, G=0, B=0]
622840,Color [A=255, R=255, G=255, B=255]
622880,Color [A=255, R=0, G=0, B=0]
629920,Color [A=255, R=255, G=255, B=255]
629960,Color [A=255, R=0, G=0, B=0]
630040,Color [A=255, R=255, G=255, B=255]
630120,Color [A=255, R=0, G=0, B=0]
630280,Color [A=255, R=255, G=255, B=255]
630360,Color [A=255, R=0, G=0, B=0]
630520,Color [A=255, R=255, G=255, B=255]
630560,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
