+----+----+----+----+----+----+----+---+---+---+---+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+
|    | 0  | 1  | 2  | 3  | 4  | 5  | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 |
+----+----+----+----+----+----+----+---+---+---+---+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+
| 0  | 20 | 19 |    | 16 | 15 | 24 |   |   |   |   | 16 | 10 |    | 20 |    | 14 |    |    |    | 17 |    |    |    | 20 | 22 | 20 | 18 | 17 | 14 | 21 | 14 | 19 |    | 14 | 14 | 20 | 17 | 16 | 17 | 17 | 17 |    |    |    |    |    |    |    |
| 1  | 19 | 15 | 17 |    |    |    |   |   |   |   | 17 |    |    |    |    |    |    |    |    |    |    |    |    | 18 | 16 | 19 |    |    |    | 19 |    |    |    | 18 | 17 | 20 | 19 | 21 | 15 | 19 | 19 |    |    |    |    |    |    |    |
| 2  | 16 | 19 | 21 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 | 21 | 19 | 17 | 19 | 20 | 13 | 17 |    |    |    |    |    |    |    |
| 3  |    |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 4  | 17 | 17 |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 5  | 19 | 19 |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 6  | 16 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 14 |    |    |    |    |    |    |    |    |    |    |    |
| 7  | 21 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |
| 8  | 13 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 |    |    |    |    |    |    |    |    |    | 13 |    |    |    |    |    |    |    |    |    |    |    |
| 9  | 18 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    | 20 |    |    |    |    |    |    |    |    |    |    |    |
| 10 | 21 | 15 | 17 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 11 | 15 | 14 | 15 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 12 | 18 | 18 | 19 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 |    |    |    |    |    |    |    |    |
| 13 | 19 | 20 | 15 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |
| 14 | 21 | 21 | 15 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 15 | 19 | 16 | 22 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 17 |    |    |    |    |    |    |    |    |    |
| 16 |    |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 21 |    |    |    |    |    |    |    |    |    |
| 17 | 17 | 20 |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
| 18 | 17 | 21 | 18 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 14 |    |    |    |    |    |    |    |
| 19 | 18 | 14 | 17 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 21 |    |    |    |    |    |    |    |
| 20 | 20 | 20 | 14 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 | 18 |    |    |    |    |    |    |    |
| 21 | 21 | 20 | 19 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 16 | 18 |    |    |    |    |    |    |    |
| 22 | 19 | 17 | 11 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 19 | 14 |    |    |    |    |    |    |    |
| 23 | 16 | 19 | 19 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 16 | 16 | 15 |    |    |    |    |    |    |    |
| 24 | 21 | 21 |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 18 | 12 | 18 |    |    |    |    |    |    |    |
| 25 | 16 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 14 | 15 | 15 |    |    |    |    |    |    |    |
| 26 | 18 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 | 13 | 12 | 16 |    |    |    |    |    |    |    |
